threshold,iou,dice,precision,recall
0.1,0.5980601133275469,0.7264154805327913,0.861382315430955,0.6886510588688718
0.15,0.5942564506061814,0.7230807116875744,0.867491135944471,0.678923710864346
0.2,0.59129643204498,0.7204972525344172,0.8717826459297103,0.6718482871672636
0.25,0.5889452870645112,0.718428840567796,0.8753609027848681,0.6661182809906979
0.3,0.5868205430959627,0.7165724898894515,0.8784382391099393,0.6610913453251926
0.35,0.5847789704743684,0.7148090348726198,0.8811692526620408,0.656477631464318
0.4,0.5827899524400622,0.7131035096366932,0.8836766912922823,0.6521403171948154
0.45,0.5808783118891417,0.7114782275977786,0.8861704780362276,0.6479856495679339
0.5,0.5788802704372952,0.7098084726198729,0.888579829441053,0.6438172237536932
0.55,0.5767567575683016,0.7080433673799463,0.8909188077971947,0.6395628919055153
0.6,0.5744184362313136,0.7061225195502127,0.8933193196469531,0.6351051862304061
0.65,0.5718414581581122,0.7040029807488359,0.8958182859675222,0.6303346043843604
0.7,0.5688328076691731,0.7015261350541208,0.8984355192734785,0.6250008272483291
0.75,0.5651141407686879,0.6984675260241495,0.9011771875601176,0.6187530510691913
0.8,0.5604525282823553,0.6945975132979437,0.9043707535723815,0.6111181357116646
0.85,0.5542601611657814,0.6894048839540968,0.9081688928283057,0.6013647059572877
0.9,0.5453109511177361,0.6818135935661905,0.9131962062015203,0.5878095453145437
