model,safe_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
lisa_500_pseudo_only,0.916515588760376,0.016442224472179925,0.9025405296634901,0.031098064540557857,0.8950234786195421,0.06864610491694682,0.8528257686605988,0.06864610491694682,0.8528257686605988
vl2g_500_weak,0.9164900018109216,0.01656176793260413,0.9005170705925838,0.031039540702460653,0.8952976504754859,0.06803017316269688,0.8536472699251371,0.06803017316269688,0.8536472699251371
vl2g_500_hardrisk_lam002,0.9111870140941055,0.014039755614526762,0.8970338703278807,0.035229595245316624,0.8850874448605687,0.07272378326992371,0.8431223912543997,0.07272378326992371,0.8431223912543997
