id,safe_score,mean_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
goose_001,0.9229020476341248,0.2544923424720764,0.0032706656493246555,0.9196313819848001,3.3816834275057772e-06,0.9228986659506973,0.024241363629698753,0.898660684004426,0.024241363629698753,0.898660684004426
goose_002,0.9835915565490723,0.3408834934234619,0.0,0.9835915565490723,0.0011963186552748084,0.9823952378937975,0.0068661607801914215,0.9767253957688808,0.0068661607801914215,0.9767253957688808
goose_003,0.9106779098510742,0.10792244970798492,0.004290916956961155,0.9063869928941131,0.010365501046180725,0.9003124088048935,0.03537951037287712,0.8752983994781971,0.03537951037287712,0.8752983994781971
goose_004,0.8874660730361938,0.34433916211128235,0.004895188845694065,0.8825708841904998,0.0004011266282759607,0.8870649464079179,0.008713875897228718,0.8787521971389651,0.008713875897228718,0.8787521971389651
goose_005,0.9802405834197998,0.1578129529953003,0.0033096277620643377,0.9769309556577355,0.0013828616356477141,0.9788577217841521,0.014491739682853222,0.9657488437369466,0.014491739682853222,0.9657488437369466
goose_006,0.8819489479064941,0.3816933035850525,0.0017123476136475801,0.8802366002928466,0.029030177742242813,0.8529187701642513,0.23369337618350983,0.6482555717229843,0.23369337618350983,0.6482555717229843
goose_007,0.9348897337913513,0.29537612199783325,0.0015911076916381717,0.9332986260997131,8.794580935500562e-05,0.9348017879819963,0.007329175248742104,0.9275605585426092,0.007329175248742104,0.9275605585426092
goose_008,0.9606606960296631,0.28817230463027954,0.008991898968815804,0.9516687970608473,0.0001315843255724758,0.9605291117040906,0.013797941617667675,0.9468627544119954,0.013797941617667675,0.9468627544119954
goose_009,0.9666145443916321,0.3422965705394745,0.00011990964412689209,0.9664946347475052,0.0015020023565739393,0.9651125420350581,0.06167197972536087,0.9049425646662712,0.06167197972536087,0.9049425646662712
goose_010,0.9051138758659363,0.15936486423015594,4.4886844989378005e-05,0.9050689890209469,8.297081990349398e-07,0.9051130461577372,0.006771636661142111,0.8983422392047942,0.006771636661142111,0.8983422392047942
goose_011,0.9186715483665466,0.3655936121940613,2.4816838049446233e-05,0.9186467315284972,0.004239763133227825,0.9144317852333188,0.06864335387945175,0.8500281944870949,0.06864335387945175,0.8500281944870949
goose_012,0.9327715635299683,0.24099469184875488,0.0,0.9327715635299683,5.541244263440603e-06,0.9327660222857048,0.01954631321132183,0.9132252503186464,0.01954631321132183,0.9132252503186464
goose_013,0.9566532373428345,0.29992005228996277,0.014076979830861092,0.9425762575119734,2.6607083782437257e-05,0.956626630259052,0.007038464304059744,0.9496147730387747,0.007038464304059744,0.9496147730387747
goose_014,0.98067706823349,0.08038680255413055,0.0007660587434656918,0.9799110094900243,0.08651307225227356,0.8941639959812164,0.05339927598834038,0.9272777922451496,0.05339927598834038,0.9272777922451496
goose_015,0.975862443447113,0.1589300036430359,0.0,0.975862443447113,0.008151467889547348,0.9677109755575657,0.031820978969335556,0.9440414644777775,0.031820978969335556,0.9440414644777775
