model,strict_threshold,strict_iou,strict_dice,strict_precision,strict_recall,loose_threshold,loose_iou,loose_dice,loose_precision,loose_recall,safe_score,obstacle_score,water_risk_score,unsafe_proxy_score,non_traversable_score
vl2g_500_weak,0.85,0.6980918609192404,0.7818261116383558,0.774055885377496,0.8570468480438491,0.10,0.603407395565852,0.7338734599023723,0.8624054601697474,0.6914500373080027,0.9164900018109216,0.01656176793260413,0.031039540702460653,0.06803017316269688,0.06803017316269688
vl2g_hardrisk_lam002,0.80,0.6880571631530368,0.7739442369661368,0.7655313481608808,0.8606897980870105,0.10,0.6086765628040824,0.7347191441287685,0.865286651905434,0.6953487201054221,0.9111870140941055,0.014039755614526762,0.035229595245316624,0.07272378326992371,0.07272378326992371
vl2g_clean_hardrisk_lam0005,0.85,0.6906446585488791,0.7762768771716928,0.7678520028796927,0.8625863784686241,0.10,0.6108817214118852,0.7389200870216731,0.8674412675429153,0.6962238856665325,0.9186773741686786,0.011871643905926987,0.03515244586450957,0.07188758395620555,0.07188758395620555
vl2g_obstacle_cleanrisk_lam0005,0.65,0.680741822262296,0.7686295444961742,0.7534795983375451,0.8653360800150615,0.10,0.5939239467597653,0.7239064927724969,0.8628157131907072,0.6805032980786058,0.8991002418376781,0.017980462410740736,0.02938501769486379,0.06552442811204985,0.06552442811204985
