sample_id,iou,dice,precision,recall,pseudo_area,gt_area,area_ratio
goose_001,0.8898341927806426,0.9417060990640332,0.9003628307218083,0.9870289411251205,0.1520703125,0.1387177734375,1.0962568727252249
goose_002,0.8329310168972903,0.908851461641193,0.8508468297426517,0.9753433746931193,0.168712890625,0.147177734375,1.1463207484573021
goose_003,0.05711409893730863,0.10805664023348861,0.05713468081272721,0.9937322567562585,0.23034423828125,0.01324365234375,17.392803155993068
goose_004,0.9203424795644554,0.9585191072513214,0.9331226017487576,0.9853367077172426,0.155244140625,0.147017578125,1.0559563189988443
goose_005,0.08277448393044358,0.15289330356211264,0.08292738138355668,0.9782109479305741,0.3235546875,0.02742919921875,11.795994659546063
goose_006,0.7801902744847652,0.8765245891600809,0.7921803433354241,0.9809693973288951,0.370560546875,0.29924560546875,1.2383157516867775
goose_007,0.9581258919871884,0.9786152115223216,0.9647846914465763,0.992848029187844,0.1906103515625,0.18522265625,1.02908766897948
goose_008,0.9066705162817555,0.95105106890715,0.9905584346522128,0.9145742512057405,0.2956611328125,0.32022509765625,0.9232915688884619
goose_009,0.9325913304871175,0.9651200600719388,0.9412380099255259,0.9902455802435165,0.1493544921875,0.141962890625,1.052067139024558
goose_010,0.9317267024726567,0.9646568546989841,0.9431133934223078,0.9872075552693711,0.27384521484375,0.26161376953125,1.046753828494639
goose_011,0.9326958713216218,0.9651760374319245,0.974062480344866,0.9564502719779567,0.403689453125,0.411123046875,0.9819188104230504
goose_012,0.8814452611000414,0.9369874099708635,0.9667824688545377,0.9089739395921927,0.1894619140625,0.20151123046875,0.940205236312531
goose_013,0.04107988632775497,0.07891783688696127,0.04107988632775497,1.0,0.30927734375,0.012705078125,24.34281322059954
goose_014,0.9574800862927315,0.9782782394543809,0.9733027161181083,0.9833048939220611,0.23156396484375,0.22920849609375,1.010276533331629
goose_015,0.34939769166185214,0.5178572541228391,0.3494442816024295,0.9996185580118281,0.406462890625,0.14209033203125,2.8605949807732625
goose_016,0.08585034081947368,0.1581255493361706,0.20450751751494228,0.12889286077896808,0.08161279296875,0.12949072265625,0.6302597691527431
goose_017,0.8799527314542497,0.9361434643875929,0.9658927865114512,0.9081719340207388,0.251833984375,0.26783984375,0.940240932226873
goose_018,0.48448823281889547,0.6527343526312775,0.48518939442309084,0.997026074330648,0.11471337890625,0.05582373046875,2.0549214096407673
goose_019,0.9178608276968933,0.9571714635822948,0.919305272258169,0.9982910809829585,0.144587890625,0.13314794921875,1.0859190207087246
goose_020,0.8259131335051049,0.9046576404427794,0.9130476954115152,0.8964203750083325,0.1510234375,0.15382470703125,0.9817892093844136
goose_021,0.0,0.0,0.0,0.0,0.246162109375,0.0,0.0
goose_022,0.8225340675354761,0.9026268229353307,0.9526293533970531,0.8576116723741014,0.267896484375,0.29757763671875,0.900257449884238
goose_023,0.9263592548966906,0.9617720604730821,0.9438387168658363,0.9804000858960379,0.18186669921875,0.17508447265625,1.0387368820296008
goose_024,0.9567774351947014,0.9779113536225964,0.9780932959283809,0.9777294789930676,0.2676923828125,0.2677919921875,0.9996280345271481
goose_025,0.8815853742587193,0.9370665677139779,0.9730087727276485,0.9036851255713373,0.29527099609375,0.317921875,0.9287533174423748
goose_026,0.7698046780805401,0.8699317926037349,0.7757834674754073,0.9900878939565927,0.10046484375,0.07871923828125,1.276242579876812
goose_027,0.06618754374677423,0.12415741327117616,0.06618894765123448,0.9996796411981419,0.13812109375,0.00914501953125,15.103422499866518
goose_028,0.7252058420066075,0.8407180457528616,0.7756340705857967,0.9177249630203024,0.15076123046875,0.1274189453125,1.1831932064655073
goose_029,0.002192346298297723,0.004375100860419426,0.0023304807230493823,0.03566804494006599,0.1789296875,0.01169091796875,15.305016079856324
goose_030,0.872021168021168,0.9316360123672571,0.9856678726891452,0.8832200848712612,0.28570263671875,0.31884228515625,0.8960625676695932
goose_031,0.9105765526174161,0.9531955695467542,0.9860133730075631,0.9224919695945689,0.30078955078125,0.32150146484375,0.9355775437210964
goose_032,0.92666235419747,0.9619353927569327,0.9544807965860598,0.9695073478858715,0.369349609375,0.363625,1.0157431677552424
goose_033,0.7312570761976857,0.8447700647713468,0.9632346287440572,0.7522532929607019,0.280587890625,0.359283203125,0.7809657901746642
goose_034,0.625464682283097,0.7695826173283337,0.6547368256791973,0.9332884752803396,0.25032421875,0.17561181640625,1.4254406330546388
goose_035,0.7584386108832376,0.8626273401745713,0.8466608057534631,0.8792076508794898,0.319916015625,0.3080732421875,1.0384414217651925
goose_036,0.2079743763057638,0.34433574152755225,0.2079743763057638,1.0,0.3178515625,0.06610498046875,4.808284644305415
goose_037,0.755542949822715,0.8607513133176424,0.9700793341769688,0.7735699196593423,0.28090234375,0.352259765625,0.7974295425184496
goose_038,0.7400109562776047,0.8505819501972629,0.7421122567752702,0.996188272600732,0.14220849609375,0.1059384765625,1.3423687097279708
