id,baseline_iou,vl2g_iou,delta_iou,baseline_dice,vl2g_dice,delta_dice,baseline_precision,vl2g_precision,baseline_recall,vl2g_recall
goose_012,0.8568647414660532,0.879461999460514,0.022597257994460773,0.9229156247423078,0.935865688918379,0.012950064176071141,0.9700407246236518,0.9533183745335969,0.8801571187541618,0.919040537945854
goose_047,0.8682469195256463,0.8907328115198953,0.022485891994248997,0.9294776942504975,0.942209080090873,0.012731385840375475,0.9437059927826905,0.9278858674293182,0.9156720645400739,0.9569814232414587
goose_018,0.08570017681634994,0.1069498419927886,0.02124966517643867,0.15787079830391595,0.1932334021571419,0.035362603853225955,0.09110768657601057,0.11179245689841048,0.5908192400614979,0.711728530639139
goose_030,0.4288141450210217,0.44927828807913595,0.020464143058114226,0.6002378217143318,0.6200027859033291,0.019764964188997314,0.4309652897026761,0.4523971662922947,0.9884937932865709,0.984887040028323
goose_032,0.9522379222388437,0.9720524085895555,0.019814486350711813,0.9755347044450492,0.9858281700381213,0.010293465593072093,0.9931741870575389,0.9923691446283057,0.9585108671412305,0.9793728575065471
goose_051,0.48469237105070945,0.500410713874452,0.01571834282374257,0.6529195953336718,0.6670316457315357,0.014112050397863896,0.9407444273519742,0.9222410865874363,0.49995591712419346,0.5224542139221737
goose_033,0.6997995553773826,0.7145172253562775,0.014717669978894898,0.823390679405156,0.8334908682037889,0.010100188798632947,0.7779961184874256,0.8201397306768342,0.874410852607276,0.847283888213409
goose_001,0.8490571605630478,0.8627662225349222,0.013709061971874381,0.9183676726408018,0.9263279654715207,0.007960292830718974,0.9625317810785494,0.9563115866091519,0.8780785546433912,0.8981673635059664
goose_035,0.9403435557767653,0.9523576543547188,0.012014098577953436,0.9692547002588143,0.9755975317642158,0.006342831505401492,0.9748941518920349,0.9710907382811235,0.9636801182325283,0.9801463519902693
goose_037,0.7956191769544853,0.8075873534125118,0.011968176458026503,0.8861780795902608,0.8935527811564759,0.007374701566215003,0.996941164954974,0.9932929176821237,0.7975661434623047,0.8120153783832217
goose_048,0.6883795347935177,0.6974177603545253,0.00903822556100764,0.8154322184172931,0.8217396761641772,0.006307457746884126,0.7737013473563751,0.7790364804678204,0.8619213841250569,0.869395962968584
goose_015,0.823697920136437,0.8322790697674418,0.00858114963100487,0.9033271475955988,0.9084632177488958,0.005136070153296979,0.8593172277668122,0.8585548411860666,0.9520883385695805,0.9645321259163433
goose_040,0.9355216300131932,0.9426625442045162,0.007140914191323011,0.9666868254082145,0.9704851179807132,0.0037982925724987515,0.9797879579656016,0.9757617586912065,0.9539314307100194,0.9652652394463073
goose_007,0.8845734361729134,0.891404978376022,0.006831542203108554,0.9387518885645081,0.9425849974672168,0.003833108902708715,0.9900154337226841,0.9908232095236436,0.8925358880422735,0.8988256834895241
goose_020,0.8482976860205923,0.8550432007522696,0.006745514731677282,0.9179232246370309,0.921857992747044,0.003934768110013143,0.9448331917094617,0.9171436368095447,0.8925036644098555,0.926621065121798
goose_002,0.9463359470110029,0.9527681789789171,0.006432231967914204,0.9724281653065036,0.9758128888367179,0.003384723530214351,0.9821907636293954,0.9756124754276325,0.9628577299010831,0.9760133846018374
goose_013,0.9344455660384857,0.9402043664276425,0.005758800389156771,0.9661120296624516,0.9691807550755827,0.0030687254131310793,0.9983084899876533,0.9945577775357523,0.9359274219870747,0.9450665452362718
goose_046,0.8073261765528309,0.8124825179077432,0.005156341354912275,0.8933928883746586,0.8965410809541383,0.003148192579479736,0.8346216206025414,0.8357267950963222,0.9610680946522904,0.9669006440408133
goose_016,0.6729881820389729,0.6775442885122299,0.004556106473256993,0.8045342929066732,0.8077811037860899,0.003246810879416695,0.9311417274982662,0.8743657475152505,0.7082354476637953,0.7506199425737405
goose_042,0.7011087906836805,0.7056517735782873,0.004542982894606862,0.8242962408087996,0.8274277135688726,0.003131472760072973,0.9772732879415827,0.9655449631331705,0.7127294480652372,0.7238796907258228
goose_027,0.5740956260304529,0.577775908950747,0.003680282920294098,0.7294291611472228,0.7323928647573023,0.002963703610079471,0.7501298898787272,0.7235314767142523,0.7098402724481965,0.7414740023023791
goose_045,0.8402459098164405,0.8437511574216966,0.0035052476052560566,0.913188726935144,0.9152549182413521,0.0020661913062081094,0.9412726129775791,0.9316874335414564,0.8867321155971996,0.8993920092646207
goose_031,0.012164661073084566,0.014483347846803477,0.0023186867737189105,0.02403692114717331,0.028553150483038976,0.004516229335865665,0.012164661073084566,0.014483347846803477,1.0,1.0
goose_036,0.04772706866592372,0.049406531675572386,0.001679463009648663,0.09110591888533498,0.09416089986915878,0.003054980983823799,0.047972203567987384,0.04954634220404915,0.9032886845261895,0.9459716113554578
goose_054,0.8161196006647258,0.8169739256337606,0.0008543249690348143,0.8987509416957059,0.8992687392019675,0.0005177975062615747,0.9639531279977568,0.962834657252133,0.8418105309283997,0.8435762110052133
goose_025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goose_039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goose_005,0.897796817625459,0.8969130851036303,-0.0008837325218287173,0.946146404385682,0.9456554358204884,-0.0004909685651935947,0.9272697930255389,0.9215206699455004,0.9658075360694776,0.9710883877293739
goose_009,0.9030169177636518,0.9012034567112073,-0.0018134610524445094,0.949037193873022,0.9480347340312038,-0.0010024598418182373,0.9612070113748369,0.9440427518269323,0.9371716870012402,0.9520606206211406
goose_010,0.8719598679315477,0.8696332068529378,-0.002326661078609904,0.931601027211159,0.9302714603756411,-0.0013295668355178814,0.973312656535901,0.9617191722033251,0.8933176114674337,0.9008152740309315
goose_021,0.8545803027324553,0.8502419601837672,-0.0043383425486881455,0.9215888915388081,0.9190602942539695,-0.002528597284838563,0.8852404770086416,0.8823918322716813,0.9610500863557858,0.958908462867012
goose_014,0.4146787239977099,0.4100752725693084,-0.004603451428401462,0.58625144630136,0.5816360027675789,-0.004615443533781072,0.423189860522255,0.414954025307699,0.9537435637714189,0.972127964885625
goose_034,0.9536561492723703,0.9487386094347594,-0.004917539837610896,0.9762783994794119,0.9736950916264192,-0.0025833078529926556,0.9803162469027291,0.9750053192407,0.9722736787772776,0.9723883806956671
goose_044,0.8550023654349929,0.8492755671778924,-0.0057267982571004294,0.9218342589385294,0.9184954176125724,-0.003338841325957076,0.9647523742749697,0.9655216745008236,0.8825720304083849,0.8758372874437861
goose_052,0.8646522396522397,0.8555475214911223,-0.009104718161117353,0.9274139394630482,0.9221510218219605,-0.005262917641087661,0.8907250115602716,0.8668193869482301,0.9672551403351128,0.9850282784502352
goose_008,0.9222313382559916,0.9123381158581606,-0.00989322239783097,0.9595425065670989,0.9541598405559671,-0.005382666011131798,0.9623241666840673,0.9592077933884875,0.9567768812367653,0.9491647405644056
goose_017,0.9394529451234754,0.9206493606334726,-0.018803584490002856,0.9687813746506391,0.9586855149133751,-0.010095859737264012,0.9668072546085991,0.941180323144734,0.9707635730842697,0.9768542121255379
goose_029,0.8740416635652543,0.8506047596706919,-0.023436903894562322,0.9327878675892843,0.9192722057216084,-0.013515661867675943,0.9531940424931178,0.9448151552196454,0.9132370991793384,0.8950740015621989
goose_003,0.6656776774136832,0.6406991260923846,-0.02497855132129867,0.7992875049478823,0.7810074570080657,-0.018280047939816524,0.7202235168232077,0.7322679396046282,0.8978508966948273,0.8366977916110864
goose_043,0.7142996811262861,0.6875633751577123,-0.026736305968573792,0.8333428384668365,0.8148593235420929,-0.01848351492474365,0.7310463200997521,0.7402681823106347,0.9689262943126753,0.9061667941851569
goose_022,0.24856343093613775,0.2207623276165369,-0.02780110331960084,0.3981590759065751,0.36167945655328626,-0.03647961935328886,0.2523188055323697,0.250579335170707,0.9435049260904126,0.6497699213138186
goose_011,0.8749031768427696,0.8322330843937306,-0.042670092449039076,0.9332782488704903,0.9084358223660272,-0.02484242650446311,0.9773083489194591,0.9576711536532254,0.8930444412499134,0.8640154721782974
goose_055,0.5698540947599623,0.521138739590101,-0.04871535516986125,0.725996252342286,0.6851955394029758,-0.0408007129393102,0.5752312829107994,0.5222800994435894,0.9838607737799648,0.9958241162927182
goose_049,0.6310793164140124,0.5786805980103373,-0.05239871840367505,0.7738180603031168,0.7331192880176869,-0.04069877228542995,0.6570587470295449,0.6274828849676984,0.9410410105320194,0.881523248332148
goose_006,0.7161020031130443,0.6007842908582008,-0.11531771225484344,0.8345681105365771,0.7506124270323926,-0.08395568350418448,0.7227325447667334,0.6874242441091107,0.9873506582070294,0.8265930348391756
