sample_id,model,iou,dice,precision,recall,pred_area,gt_area,area_ratio
goose_001,student_gs100,0.0,0.0,0.0,0.0,0.0,0.2559638671875,0.0
goose_001,student_lisa100,0.8347054380005827,0.9099067574686259,0.9071138226795993,0.9127169438435448,0.257544921875,0.2559638671875,1.0061768666994775
goose_001,student_lisa500,0.8586513247169666,0.9239509458265079,0.9369121488582254,0.911343458969047,0.248978515625,0.2559638671875,0.9727096185908808
goose_001,student_gt500,0.9195272734652161,0.9580767996124843,0.9654573277030953,0.9508082576962843,0.252080078125,0.2559638671875,0.9848268073725615
goose_002,student_gs100,0.0,0.0,0.0,0.0,0.0,0.33241552734375,0.0
goose_002,student_lisa100,0.9144362541316325,0.9553060355581396,0.9255025533954375,0.9870928792706088,0.354537109375,0.33241552734375,1.06654798049904
goose_002,student_lisa500,0.9615369196892601,0.9803913554087816,0.9743570027507283,0.9865009173206891,0.33655859375,0.33241552734375,1.0124635164890046
goose_002,student_gt500,0.9774742134969902,0.9886088089800297,0.9985540038360106,0.9788597608356211,0.325859375,0.33241552734375,0.9802772379613593
goose_003,student_gs100,0.16923929707514146,0.2894861599306395,0.5176891115727729,0.20091892693048763,0.03196484375,0.08236083984375,0.3881073069512376
goose_003,student_lisa100,0.6395780119076763,0.780173931661253,0.7432847357911236,0.8209159626500667,0.090962890625,0.08236083984375,1.1044434563509706
goose_003,student_lisa500,0.6385426821538017,0.7794031722316342,0.7085766954496944,0.8659611679264858,0.100654296875,0.08236083984375,1.2221135319401213
goose_003,student_gt500,0.3816796033740129,0.5524864121059104,0.8760491220843417,0.40346820809248557,0.037931640625,0.08236083984375,0.46055432043871347
goose_004,student_gs100,0.02050059503439963,0.040177526861135404,0.5646012097341399,0.020829900605500756,0.013884765625,0.37635107421875,0.03689312074855306
goose_004,student_lisa100,0.897773121503602,0.9461332456772262,0.967030183158123,0.9261203450588829,0.3604296875,0.37635107421875,0.9576953865435338
goose_004,student_lisa500,0.7902057474083044,0.8828099770680456,0.9745120529502463,0.806881976005719,0.31161328125,0.37635107421875,0.8279856298985295
goose_004,student_gt500,0.9666907321384527,0.9830632913872894,0.9899167026236305,0.976304123035885,0.37117578125,0.37635107421875,0.9862487625962191
goose_005,student_gs100,0.0,0.0,0.0,0.0,0.0,0.1394208984375,0.0
goose_005,student_lisa100,0.8651266052938812,0.9276867348718844,0.9065420560747663,0.9498413498917817,0.146080078125,0.1394208984375,1.0477631385404191
goose_005,student_lisa500,0.8794061903765823,0.9358340893837037,0.9024653613478176,0.9717651838309974,0.150126953125,0.1394208984375,1.0767894541455658
