id,safe_score,mean_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
goose_001,0.916418731212616,0.25189319252967834,0.003040615003556013,0.91337811620906,2.5024457499966957e-05,0.916393706755116,0.02279314398765564,0.8936255872249603,0.02279314398765564,0.8936255872249603
goose_002,0.9778826832771301,0.33972010016441345,5.630393388855737e-06,0.9778770528837413,0.0019284605514258146,0.9759542227257043,0.009112317115068436,0.9687703661620617,0.009112317115068436,0.9687703661620617
goose_003,0.8573198914527893,0.10057481378316879,0.005007938016206026,0.8523119534365833,0.006951592396944761,0.8503682990558445,0.03276237100362778,0.8245575204491615,0.03276237100362778,0.8245575204491615
goose_004,0.7748581767082214,0.3017113208770752,0.008883104659616947,0.7659750720486045,0.0005753380828537047,0.7742828386253677,0.009881408885121346,0.7649767678231001,0.009881408885121346,0.7649767678231001
goose_005,0.9671390056610107,0.15189045667648315,0.005536614451557398,0.9616023912094533,0.0008420312078669667,0.9662969744531438,0.009451269172132015,0.9576877364888787,0.009451269172132015,0.9576877364888787
goose_006,0.9633741974830627,0.3965587913990021,0.009460130706429482,0.9539140667766333,0.018289320170879364,0.9450848773121834,0.21585454046726227,0.7475196570158005,0.21585454046726227,0.7475196570158005
goose_007,0.8968027830123901,0.2829492390155792,0.0013193597551435232,0.8954834232572466,6.49269059067592e-05,0.8967378561064834,0.006110581569373608,0.8906922014430165,0.006110581569373608,0.8906922014430165
goose_008,0.9570140242576599,0.28314754366874695,0.005055116955190897,0.951958907302469,0.00016333376697730273,0.9568506904906826,0.0071003553457558155,0.9499136689119041,0.0071003553457558155,0.9499136689119041
goose_009,0.947336733341217,0.31611889600753784,0.000388732849387452,0.9469480004918296,0.002109709195792675,0.9452270241454244,0.0274397861212492,0.9198969472199678,0.0274397861212492,0.9198969472199678
goose_010,0.8991630673408508,0.15655016899108887,2.009858519613772e-07,0.8991628663549989,1.561294266139157e-05,0.8991474543981894,0.0038053628522902727,0.8953577044885606,0.0038053628522902727,0.8953577044885606
goose_011,0.9482498168945312,0.3762397766113281,8.645210073154885e-06,0.9482411716844581,0.006139990407973528,0.9421098264865577,0.06738173961639404,0.8808680772781372,0.06738173961639404,0.8808680772781372
goose_012,0.9392237663269043,0.23680658638477325,2.2617230115429265e-06,0.9392215046038928,2.4676619432284497e-06,0.9392212986649611,0.011545307002961636,0.9276784593239427,0.011545307002961636,0.9276784593239427
goose_013,0.950654923915863,0.2968895733356476,0.008952097035944462,0.9417028268799186,0.0001418293104507029,0.9505130946054123,0.00534282810986042,0.9453120958060026,0.00534282810986042,0.9453120958060026
