id,baseline_iou,vl2g_iou,delta_iou,baseline_dice,vl2g_dice,delta_dice,baseline_precision,vl2g_precision,baseline_recall,vl2g_recall
goose_018,0.13628440206693868,0.27050835388958117,0.1342239518226425,0.239877273364015,0.425826958258774,0.185949684894759,0.15724991824831905,0.294896176984281,0.5054862771073928,0.7658612447081186
goose_008,0.5022868249809854,0.6078263293899308,0.10553950440894533,0.6686963056969403,0.7560845574914334,0.08738825179449317,0.7069607003520791,0.9600207684319834,0.6343613651305959,0.623611431303739
goose_053,0.4670521508053559,0.5592724780271705,0.09222032722181461,0.636721946863255,0.7173505412405863,0.08062859437733128,0.9911740458755638,0.9599991664823311,0.46900267995521616,0.5726164604512994
goose_052,0.451760315694423,0.5127789107039192,0.061018595009496246,0.6223621224669331,0.67792974515399,0.05556762268705684,0.8211876088218224,0.8323628192427573,0.5010485312263112,0.5718340720083661
goose_024,0.6143287297211042,0.6629320141014053,0.04860328438030115,0.7610949596706208,0.7973050112450116,0.036210051574390834,0.9737111457365836,0.9621498969021552,0.6246898518886744,0.6806836608656578
goose_027,0.18460093896713614,0.23209692994366513,0.047495990976528984,0.3116677235256817,0.3767510888194117,0.06508336529373004,0.970303821187178,0.9303943242857022,0.18564980793854033,0.2361982501067008
goose_002,0.7665129495062418,0.7994071622511768,0.03289421274493498,0.8678260181681543,0.8885228190945577,0.020696800926403358,0.9197684113446768,0.9586678933197181,0.8214367426401155,0.8279428098389707
goose_048,0.6025048920878752,0.6330342577487765,0.030529365660901364,0.751953888019502,0.7752859497527596,0.023332061733257525,0.9611861591932473,0.9507432716736529,0.6175292961588665,0.6544996553393074
goose_015,0.7196653578318033,0.7462328576095878,0.026567499777784498,0.836983026440883,0.8546773751939399,0.017694348753056977,0.7725550382587496,0.9010844150220828,0.9131348024962461,0.8128162620537613
goose_026,0.4972074312404374,0.5180379086854686,0.020830477445031192,0.664179753407316,0.6825098447430196,0.018330091335703513,0.9807592769549291,0.9696618226929191,0.5021051204724113,0.5265726233439566
goose_029,0.8266573877168516,0.8470644062064931,0.02040701848964155,0.9051039272888441,0.9172007249559821,0.012096797667138004,0.9760946784305381,0.9589100726587355,0.8437392994897713,0.878968562785288
goose_009,0.6010275362711026,0.6198550024166264,0.018827466145523775,0.7508022475002958,0.7653215892680248,0.014519341767729066,0.9399189891784052,0.9419140285318104,0.6250407053176221,0.6444908116539827
goose_047,0.5102144520057307,0.5283208766207798,0.018106424615049077,0.6756847695744268,0.6913742849458848,0.015689515371458018,0.9523258388939261,0.9414748094625359,0.5235877880131401,0.5462612850612207
goose_045,0.4524378103727062,0.46776081730082864,0.01532300692812244,0.6230047264558712,0.6373801668326693,0.014375440376798054,0.9512782355147423,0.9386143832790943,0.46317066848888994,0.48252197271377745
goose_049,0.733403403722224,0.7485523194940062,0.015148915771782234,0.8462004887579546,0.8561966503931908,0.0099961616352362,0.836633603410481,0.8445497173302474,0.8559886991648287,0.8681693142673044
goose_028,0.7671248936207166,0.7805896948784554,0.013464801257738856,0.8682180828191841,0.8767766062262189,0.00855852340703478,0.9554467359062481,0.9473653254213584,0.795584265286318,0.8159776556438413
goose_050,0.8381253502807533,0.8508454970766931,0.012720146795939802,0.9119349234291763,0.9194127747783983,0.0074778513492220755,0.9633999321525221,0.9563697803524016,0.8656896183653306,0.8852057610104109
goose_012,0.5216316716705195,0.5343484343969143,0.01271676272639477,0.6856214698762776,0.6965151101509006,0.010893640274623029,0.9754831225983386,0.9717338262190995,0.5285612154094707,0.5427851261803762
goose_055,0.5774896927668236,0.5900493237013364,0.012559630934512844,0.732162872968052,0.7421773839415401,0.010014510973488044,0.6321389793702498,0.6548931942374565,0.8697905840781542,0.8563058615672418
goose_001,0.4748674434911406,0.48703563599681854,0.012168192505677966,0.6439459296315982,0.6550423193729845,0.01109638974138627,0.9426792933834857,0.9179463554463555,0.48898687348899095,0.5092039720270644
goose_010,0.34409470684559557,0.35604558860372815,0.011950881758132581,0.5120096152348346,0.5251233315398129,0.013113716304978373,0.9545874195994033,0.9489446570977558,0.3498211442956065,0.36299921915173217
goose_033,0.5743787554464159,0.5857131742402303,0.01133441879381436,0.7296576550711275,0.7387378546827873,0.009080199611659845,0.9284033271043794,0.9220104988483927,0.6010000409293695,0.6162439572333566
goose_011,0.9302760814452222,0.9408227644370051,0.010546682991782852,0.9638787843744224,0.969509201639975,0.005630417265552579,0.9793544799802767,0.9735054814301629,0.948884572262661,0.9655455974986608
goose_054,0.6685624746097151,0.679065598834395,0.010503124224679916,0.8013634308371883,0.8088613087014603,0.007497877864272029,0.9541162829219811,0.9432586812952706,0.6907717215326498,0.707986048649837
goose_004,0.811577475933008,0.8209050122803128,0.009327536347304766,0.8959898063592617,0.9016450685171066,0.0056552621578448425,0.9726208041429761,0.9686227776585943,0.8305521366414027,0.8433309580877113
goose_042,0.31062751291855595,0.3168424568435116,0.00621494392495564,0.4740134170185984,0.4812154334740802,0.007202016455481797,0.9749380351198724,0.973859528736688,0.31312785671480897,0.3195602299201095
goose_038,0.7152318509170612,0.719216200872956,0.003984349955894806,0.8339768766941418,0.8366791803238754,0.002702303629733671,0.9620374329162067,0.9388386077871591,0.7360044524075711,0.7545707966977977
goose_014,0.36125685283536063,0.36493581410680725,0.0036789612714466235,0.5307695635587054,0.5347296339287801,0.003960070370074731,0.9895511772340316,0.9714809389352412,0.36264016789244996,0.36888776626189396
goose_032,0.48558289963889273,0.48607936847611577,0.0004964688372230408,0.6537270989817203,0.6541768613268087,0.0004497623450884225,0.9815708728764365,0.975536942728654,0.49005063503204765,0.4920773842706928
goose_006,0.9069441258975671,0.906340607702166,-0.0006035181954011648,0.951201572799815,0.9508695393050838,-0.0003320334947312098,0.9115072100146727,0.9375640531417773,0.9945105701752265,0.9645581129903609
goose_044,0.5079159752602203,0.5067585733062493,-0.0011574019539709601,0.6736661506256268,0.6726473401698049,-0.0010188104558219724,0.9577309543957958,0.9404598561390379,0.5195628356274304,0.5235556447132893
goose_036,0.03842075057390957,0.03654218759874653,-0.0018785629751630409,0.07399842607666568,0.07050786361797806,-0.0034905624586876183,0.06103670229370754,0.05778840575470824,0.09394949394796855,0.09040674837735388
goose_023,0.5528641530734589,0.5507107180126237,-0.002153435060835207,0.7120573322260282,0.7102687969016032,-0.0017885353244250224,0.6913689655794255,0.6799937951291763,0.7340220396977132,0.7433652523296491
goose_035,0.5649031123257403,0.5618200478959973,-0.003083064429743043,0.7219656065303468,0.7194427407342504,-0.0025228657960963963,0.9690472924952932,0.9542126670540384,0.5752834022331689,0.5773855565712679
goose_034,0.6909169009684474,0.6875479382449144,-0.003368962723532931,0.8172097642086787,0.8148484824199765,-0.0023612817887022075,0.9496181239500421,0.9363102739708007,0.7172072170673671,0.7212811064764707
goose_007,0.6864617838000128,0.6828734159471364,-0.0035883678528764174,0.8140851935028681,0.8115564836619741,-0.002528709840894039,0.995721774330289,0.9946858622801895,0.6884924626216378,0.6853738453279361
goose_056,0.8784160405724738,0.8729151217787887,-0.005500918793685083,0.9352731467356551,0.9321459489843228,-0.0031271977513323,0.9556101206362763,0.9345616394966659,0.9157837444088411,0.9297427146125168
goose_037,0.7413158046134641,0.7354244610291608,-0.005891343584303321,0.851443262215174,0.8475441916878723,-0.0038990705273016513,0.985297229626758,0.9474442694592959,0.7496079972617307,0.7667018871600332
goose_020,0.7429760718221918,0.7368249725032182,-0.0061510993189736185,0.8525373168725703,0.8484734894630874,-0.004063827409482856,0.8436554793134217,0.8280877576133832,0.8616081566581459,0.8698882593733441
goose_022,0.7476118252609734,0.741405037398452,-0.006206787862521379,0.8555811015404767,0.8515021163669813,-0.004078985173495475,0.951682472686566,0.9528704338760408,0.7771083158903734,0.7696275535337332
goose_040,0.8759404159540625,0.8669009958992384,-0.009039420054824054,0.9338680573269469,0.928705911886532,-0.005162145440414934,0.9764262536363232,0.9545135288805646,0.8948647731130475,0.9042571008260722
goose_003,0.9031139498446021,0.8928386038495878,-0.01027534599501434,0.9490907782146681,0.9433858777328024,-0.005704900481865782,0.9480969480160532,0.9197467488021903,0.9500866941385755,0.968272197077169
goose_013,0.9576980624041432,0.9463700159148927,-0.011328046489250565,0.9783920010913695,0.9724461517354919,-0.005945849355877608,0.9805487105765187,0.9579171564001538,0.976244758117157,0.9874226653123478
goose_030,0.7702261565156016,0.7495686851260005,-0.020657471389601056,0.870200853919891,0.8568611126827731,-0.013339741237117897,0.8982790701662622,0.8598496216207447,0.8438247589589928,0.8538933056246929
goose_025,0.8126617503826353,0.7915075689874618,-0.021154181395173555,0.8966501888298689,0.8836217972942333,-0.01302839153563562,0.8166387024608501,0.794735840334992,0.9940431615494588,0.9948941384709646
goose_016,0.6034638196915777,0.5819384788927936,-0.0215253407987841,0.7527002633681532,0.7357283316100828,-0.016971931758070435,0.9038640579359947,0.801270027120993,0.6448537949427805,0.6800981629931601
goose_046,0.6494352074117486,0.6249122604193332,-0.024522946992415418,0.7874637384887955,0.7691643119956091,-0.018299426493186388,0.7395120078254271,0.7514373380201972,0.8420652683079165,0.7877478790402331
goose_021,0.44060743978180145,0.4119353942227526,-0.028672045559048842,0.6116967434911167,0.5835045936354848,-0.0281921498556319,0.9534242922536776,0.9396289736179734,0.4502997380440623,0.4231344035464804
goose_019,0.5076223225565231,0.47844350721919277,-0.0291788153373303,0.6734078090535721,0.6472259574112481,-0.026181851642324006,0.9495681661633021,0.9310928961748633,0.5216869854799082,0.496006101465982
goose_051,0.6206498375211145,0.5857318306323199,-0.03491800688879454,0.7659271276890229,0.7387526936364214,-0.02717443405260156,0.977680820991827,0.9654892744701097,0.6295699796999711,0.5982572840698195
