id,safe_score,mean_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
goose_001,0.8989627361297607,0.24349871277809143,0.0007461159257218242,0.8982166202040389,1.1666807040455751e-05,0.8989510693227203,0.015313923358917236,0.8836488127708435,0.015313923358917236,0.8836488127708435
goose_002,0.9770293235778809,0.36350753903388977,0.0,0.9770293235778809,0.0052146995440125465,0.9718146240338683,0.05049892142415047,0.9265304021537304,0.05049892142415047,0.9265304021537304
goose_003,0.8453997373580933,0.1022549718618393,0.006171029526740313,0.839228707831353,0.010814454406499863,0.8345852829515934,0.03694355487823486,0.8084561824798584,0.03694355487823486,0.8084561824798584
goose_004,0.9226469993591309,0.3547193706035614,0.003280118340626359,0.9193668810185045,0.00044124299893155694,0.9222057563601993,0.0052472250536084175,0.9173997743055224,0.0052472250536084175,0.9173997743055224
goose_005,0.9826847910881042,0.16392861306667328,0.010577714070677757,0.9721070770174265,0.0012745768763124943,0.9814102142117918,0.022229701280593872,0.9604550898075104,0.022229701280593872,0.9604550898075104
goose_006,0.9671131372451782,0.4047245681285858,0.0024677107576280832,0.9646454264875501,0.027835477143526077,0.9392776601016521,0.2302095592021942,0.736903578042984,0.2302095592021942,0.736903578042984
goose_007,0.8674904704093933,0.2712070643901825,0.0004695488896686584,0.8670209215197247,9.216326361638494e-06,0.8674812540830317,0.00388321396894753,0.8636072564404458,0.00388321396894753,0.8636072564404458
goose_008,0.9510450959205627,0.28117498755455017,0.00981855858117342,0.9412265373393893,4.9783848226070404e-05,0.9509953120723367,0.005204761866480112,0.9458403340540826,0.005204761866480112,0.9458403340540826
goose_009,0.9450472593307495,0.33250677585601807,4.511717997957021e-05,0.9450021421507699,0.0018476962577551603,0.9431995630729944,0.05523175373673439,0.8898155055940151,0.05523175373673439,0.8898155055940151
goose_010,0.900776207447052,0.15636597573757172,0.0,0.900776207447052,5.771882882754653e-08,0.9007761497282232,0.002286631381139159,0.8984895760659128,0.002286631381139159,0.8984895760659128
goose_011,0.9272077679634094,0.37471482157707214,1.5256252936524106e-06,0.9272062423381158,0.010290266014635563,0.9169175019487739,0.08469533175230026,0.8425124362111092,0.08469533175230026,0.8425124362111092
goose_012,0.9355756640434265,0.23552493751049042,0.0,0.9355756640434265,1.465937682354479e-08,0.9355756493840497,0.012241178192198277,0.9233344858512282,0.012241178192198277,0.9233344858512282
goose_013,0.9445353746414185,0.2925824820995331,0.0020326953381299973,0.9425026793032885,9.515415513305925e-06,0.9445258592259052,0.0018022112781181931,0.9427331633633003,0.0018022112781181931,0.9427331633633003
goose_014,0.967787504196167,0.0862547978758812,0.0004801883769687265,0.9673073158191983,0.0994381457567215,0.8683493584394455,0.061309412121772766,0.9064780920743942,0.061309412121772766,0.9064780920743942
goose_015,0.9730775952339172,0.17153479158878326,0.0,0.9730775952339172,0.010368086397647858,0.9627095088362694,0.04933473467826843,0.9237428605556488,0.04933473467826843,0.9237428605556488
goose_016,0.8508512377738953,0.34898558259010315,0.11548615247011185,0.7353650853037834,0.020643388852477074,0.8302078489214182,0.06506414711475372,0.7857870906591415,0.06506414711475372,0.7857870906591415
goose_017,0.9794065952301025,0.33788374066352844,0.002250814577564597,0.9771557806525379,0.003434155834838748,0.9759724393952638,0.08107935637235641,0.8983272388577461,0.08107935637235641,0.8983272388577461
goose_018,0.8352885842323303,0.40826141834259033,,,0.3415001332759857,0.4937884509563446,0.3907727897167206,0.44451579451560974,0.3907727897167206,0.44451579451560974
goose_019,0.9875796437263489,0.2485615313053131,0.0,0.9875796437263489,0.0006648767739534378,0.9869147669523954,0.113043874502182,0.8745357692241669,0.113043874502182,0.8745357692241669
