id,lisa_traversable_area,hard_risk_area,overlap_area,overlap_over_a,overlap_over_b,iou
goose_003,0.23034423828125,0.12577099609375,7.32421875e-06,3.179683939409682e-05,5.823456104706426e-05,2.0567413812224218e-05
goose_004,0.155244140625,0.06582958984375,5.859375e-06,3.774297037164955e-05,8.900822584287816e-05,2.650486916528104e-05
goose_007,0.1906103515625,0.00727880859375,0.0,0.0,0.0,0.0
goose_008,0.2956611328125,0.02799609375,2.9296875e-05,9.908936870146835e-05,0.0010464629551931342,9.052641108029613e-05
goose_009,0.1493544921875,0.0002666015625,0.0,0.0,0.0,0.0
goose_010,0.27384521484375,0.0,0.0,0.0,0.0,0.0
goose_012,0.1894619140625,0.1888017578125,0.00028564453125,0.0015076620156757993,0.0015129336429851269,0.0007557172919733061
goose_014,0.23156396484375,0.01507421875,0.0,0.0,0.0,0.0
goose_016,0.08161279296875,0.0,0.0,0.0,0.0,0.0
goose_017,0.251833984375,0.0019716796875,2.9296875e-06,1.1633408045642448e-05,0.0014858841006721436,1.1543167599075886e-05
goose_018,0.11471337890625,0.00172314453125,0.0,0.0,0.0,0.0
goose_019,0.144587890625,0.0035986328125,4.8828125e-07,3.3770549379183257e-06,0.0001356852102936655,3.2950557688080297e-06
goose_023,0.18186669921875,0.0,0.0,0.0,0.0,0.0
goose_024,0.2676923828125,0.0008232421875,0.0,0.0,0.0,0.0
goose_025,0.29527099609375,0.2652548828125,1.953125e-05,6.614686257151526e-05,7.363200930695044e-05,3.484572490865206e-05
goose_026,0.10046484375,0.0,0.0,0.0,0.0,0.0
goose_028,0.15076123046875,0.041166015625,0.00114697265625,0.007607875397939468,0.027862124590455686,0.006012008660962607
goose_029,0.1789296875,0.0,0.0,0.0,0.0,0.0
goose_030,0.28570263671875,0.01006005859375,0.0,0.0,0.0,0.0
goose_031,0.30078955078125,0.10503466796875,8.447265625e-05,0.0002808364054883537,0.0008042359525974764,0.00020819418620718547
goose_037,0.28090234375,0.03896435546875,0.0004189453125,0.0014914269026965773,0.010752014436136393,0.0013114673913854147
goose_038,0.14220849609375,0.0684423828125,0.00238818359375,0.016793536668634805,0.034893343796569214,0.011467169337076475
goose_039,0.19680224609375,0.0,0.0,0.0,0.0,0.0
goose_041,0.22291162109375,0.001302734375,0.0,0.0,0.0,0.0
goose_043,0.1085498046875,0.05476416015625,0.0,0.0,0.0,0.0
goose_047,0.1958017578125,0.0,0.0,0.0,0.0,0.0
goose_048,0.23623779296875,0.00219580078125,9.765625e-07,4.133811477519023e-06,0.0004447409383044827,4.095758841711012e-06
goose_049,0.2189140625,0.034794921875,0.0,0.0,0.0,0.0
goose_050,0.22643603515625,0.1222646484375,5.078125e-05,0.0002242631123833686,0.0004153387806595287,0.0001456511235441601
goose_051,0.1932939453125,0.05399755859375,6.8359375e-06,3.536550246791751e-05,0.00012659715879690563,2.764400056072371e-05
goose_052,0.3304228515625,0.1025205078125,1.7578125e-05,5.319887809469223e-05,0.00017145959745015069,4.06030912486346e-05
goose_053,0.37890185546875,0.06790185546875,0.0224443359375,0.05923522308885124,0.3305408340081075,0.052889925991323215
goose_055,0.20126611328125,0.12421337890625,0.0,0.0,0.0,0.0
goose_056,0.273119140625,0.08093798828125,2.392578125e-05,8.76019937497093e-05,0.0002956063247670103,6.758061401805702e-05
goose_058,0.217419921875,0.3073388671875,8.740234375e-05,0.0004019978619992948,0.0002843842841931837,0.00016658492527394232
goose_059,0.15446533203125,0.03277294921875,0.0,0.0,0.0,0.0
goose_060,0.2818984375,0.01142041015625,0.0,0.0,0.0,0.0
goose_062,0.1007607421875,0.0,0.0,0.0,0.0,0.0
goose_063,0.26435791015625,0.06228662109375,0.0001142578125,0.00043220879009164636,0.0018343877142914923,0.00034991491385162127
goose_065,0.27663037109375,0.05083154296875,2.05078125e-05,7.41343490914586e-05,0.0004034465865498262,6.263048016692121e-05
goose_069,0.173474609375,0.03731396484375,0.00050048828125,0.002885080894845458,0.013412894698786784,0.002380012538597116
goose_072,0.1181171875,0.0,0.0,0.0,0.0,0.0
goose_074,0.238970703125,0.02084375,5.859375e-06,2.451921898109462e-05,0.0002811094452707761,2.2552660462136804e-05
goose_076,0.26229931640625,0.00549755859375,8.7890625e-06,3.350775983865361e-05,0.0015987210230394599,3.282096165411662e-05
goose_080,0.2471357421875,0.0003310546875,0.0,0.0,0.0,0.0
goose_081,0.31339013671875,0.07769873046875,0.00091259765625,0.00291201779929527,0.011745335486675767,0.002338936853707773
goose_082,0.2974658203125,0.0,0.0,0.0,0.0,0.0
goose_086,0.2597529296875,0.0,0.0,0.0,0.0,0.0
goose_089,0.2185087890625,0.0,0.0,0.0,0.0,0.0
goose_093,0.17119189453125,0.00390869140625,0.0,0.0,0.0,0.0
goose_094,0.23031787109375,0.0,0.0,0.0,0.0,0.0
goose_096,0.3099501953125,0.000974609375,4.19921875e-05,0.00013548043567966205,0.04308617232310312,0.00013507400799114312
goose_097,0.27038525390625,0.0,0.0,0.0,0.0,0.0
goose_098,0.142294921875,0.0,0.0,0.0,0.0,0.0
goose_101,0.084611328125,0.02979150390625,0.0,0.0,0.0,0.0
goose_103,0.36941455078125,0.06970068359375,0.00015478515625,0.00041900124378547267,0.0022207121690668054,0.00035261754567025405
goose_104,0.4050029296875,0.0050546875,3.662109375e-05,9.042179961071557e-05,0.0072449768153743255,8.931516702521032e-05
goose_108,0.32657373046875,0.02610498046875,0.0,0.0,0.0,0.0
goose_110,0.15905810546875,0.07594384765625,0.00101708984375,0.006394454660134905,0.013392656220780202,0.004346818975744318
goose_111,0.37163525390625,0.05975048828125,0.00013330078125,0.0003586871262849885,0.002230957186850992,0.0003091015109738859
goose_114,0.10967333984375,0.0,0.0,0.0,0.0,0.0
goose_116,0.17524365234375,0.0378017578125,8.88671875e-05,0.0005071064561324854,0.0023508744736062564,0.00041730198218345856
goose_117,0.0260791015625,0.01856201171875,0.00038916015625,0.014922299194627928,0.020965408390872933,0.008794191640455553
goose_124,0.32311083984375,0.01571240234375,0.00616162109375,0.019069682393572207,0.3921501600300771,0.018522188022418434
goose_125,0.10937353515625,0.0009853515625,0.0009853515625,0.00900904922829766,0.9999999995044598,0.00900904922829766
goose_126,0.17547119140625,0.2220791015625,0.000921875,0.0052537114076071575,0.004151110993838962,0.0023242787410948924
goose_129,0.3023828125,0.07898095703125,0.0107177734375,0.03544438703004223,0.13570072888826976,0.02891646894999767
goose_130,0.24321533203125,0.0209287109375,0.0,0.0,0.0,0.0
goose_131,0.05522021484375,0.01970703125,0.001796875,0.03254016676806695,0.0911793855279688,0.024570844822932536
goose_134,0.28501416015625,0.101708984375,5.37109375e-06,1.884500667281326e-05,5.280844935164278e-05,1.388892396191166e-05
goose_138,0.36514306640625,0.20038623046875,0.005107421875,0.013987454082753325,0.025487888379556355,0.009113530543388496
goose_139,0.1625263671875,0.002138671875,0.0,0.0,0.0,0.0
goose_141,0.2647392578125,0.0,0.0,0.0,0.0,0.0
goose_142,0.2707666015625,0.00231640625,0.0,0.0,0.0,0.0
goose_143,0.1324052734375,0.35306298828125,0.00031396484375,0.0023712412322991405,0.0008892601438569975,0.0006471443121745184
goose_144,0.14231201171875,0.10306982421875,0.0,0.0,0.0,0.0
goose_146,0.01696630859375,0.72734033203125,0.01416259765625,0.834748323572258,0.019471761749672915,0.019396991309626674
goose_147,0.211375,0.0,0.0,0.0,0.0,0.0
goose_148,0.2989013671875,0.00998193359375,9.765625e-06,3.267173078488496e-05,0.0009783299906580085,3.1616904293999874e-05
goose_150,0.21729931640625,0.02462548828125,0.0,0.0,0.0,0.0
goose_154,0.28708935546875,0.03991796875,1.953125e-06,6.803195460896418e-06,4.892846658125883e-05,5.972761222436121e-06
goose_156,0.274333984375,0.29307080078125,0.000310546875,0.0011320029332382903,0.0010596308952363933,0.0005476107038945388
goose_159,0.1654677734375,0.0,0.0,0.0,0.0,0.0
goose_161,0.240328125,0.0,0.0,0.0,0.0,0.0
goose_162,0.25378759765625,0.02627392578125,0.0,0.0,0.0,0.0
goose_164,0.25540185546875,0.0,0.0,0.0,0.0,0.0
goose_165,0.17009033203125,0.0008984375,0.0,0.0,0.0,0.0
goose_168,0.11239794921875,0.05082568359375,6.8359375e-06,6.0819058955125004e-05,0.00013449769912735494,4.1882561297994774e-05
goose_171,0.15161328125,0.00414111328125,0.0,0.0,0.0,0.0
goose_180,0.21203125,0.144126953125,6.8359375e-06,3.2240235814221994e-05,4.7429973032511785e-05,1.9193910594738136e-05
goose_182,0.25173046875,0.0104091796875,0.0,0.0,0.0,0.0
goose_184,0.25866357421875,0.17111328125,3.466796875e-05,0.00013402725472515159,0.0002026024426429557,8.067155089343098e-05
goose_187,0.1801513671875,0.269638671875,0.0019482421875,0.010814473505865795,0.007225381188643611,0.004350291109701095
goose_190,0.222697265625,0.09298974609375,0.00458740234375,0.02059927557199858,0.04933234616105957,0.01474576696820322
goose_191,0.09665087890625,0.03007177734375,0.0,0.0,0.0,0.0
