id,area_ratio,empty
goose_001,0.1520703125,0
goose_002,0.168712890625,0
goose_003,0.23034423828125,0
goose_004,0.155244140625,0
goose_005,0.3235546875,0
goose_006,0.370560546875,0
goose_007,0.1906103515625,0
goose_008,0.2956611328125,0
goose_009,0.1493544921875,0
goose_010,0.27384521484375,0
goose_011,0.403689453125,0
goose_012,0.1894619140625,0
goose_013,0.30927734375,0
goose_014,0.23156396484375,0
goose_015,0.406462890625,0
goose_016,0.08161279296875,0
goose_017,0.251833984375,0
goose_018,0.11471337890625,0
goose_019,0.144587890625,0
goose_020,0.1510234375,0
goose_021,0.246162109375,0
goose_022,0.267896484375,0
goose_023,0.18186669921875,0
goose_024,0.2676923828125,0
goose_025,0.29527099609375,0
goose_026,0.10046484375,0
goose_027,0.13812109375,0
goose_028,0.15076123046875,0
goose_029,0.1789296875,0
goose_030,0.28570263671875,0
goose_031,0.30078955078125,0
goose_032,0.369349609375,0
goose_033,0.280587890625,0
goose_034,0.25032421875,0
goose_035,0.319916015625,0
goose_036,0.3178515625,0
goose_037,0.28090234375,0
goose_038,0.14220849609375,0
goose_039,0.19680224609375,0
goose_040,0.157912109375,0
goose_041,0.22291162109375,0
goose_042,0.290697265625,0
goose_043,0.1085498046875,0
goose_044,0.31919140625,0
goose_045,0.192875,0
goose_046,0.4627890625,0
goose_047,0.1958017578125,0
goose_048,0.23623779296875,0
goose_049,0.2189140625,0
goose_050,0.22643603515625,0
goose_051,0.1932939453125,0
goose_052,0.3304228515625,0
goose_053,0.37890185546875,0
goose_054,0.1573515625,0
goose_055,0.20126611328125,0
goose_056,0.273119140625,0
goose_057,0.402384765625,0
goose_058,0.217419921875,0
goose_059,0.15446533203125,0
goose_060,0.2818984375,0
goose_061,0.415609375,0
goose_062,0.1007607421875,0
goose_063,0.26435791015625,0
goose_064,0.26694921875,0
goose_065,0.27663037109375,0
goose_066,0.335107421875,0
goose_067,0.238193359375,0
goose_068,0.388640625,0
goose_069,0.173474609375,0
goose_070,0.211744140625,0
goose_071,0.365990234375,0
goose_072,0.1181171875,0
goose_073,0.282966796875,0
goose_074,0.238970703125,0
goose_075,0.15621875,0
goose_076,0.26229931640625,0
goose_077,0.166203125,0
goose_078,0.31120703125,0
goose_079,0.158591796875,0
goose_080,0.2471357421875,0
goose_081,0.31339013671875,0
goose_082,0.2974658203125,0
goose_083,0.118283203125,0
goose_084,0.223451171875,0
goose_085,0.121912109375,0
goose_086,0.2597529296875,0
goose_087,0.20298828125,0
goose_088,0.27762890625,0
goose_089,0.2185087890625,0
goose_090,0.161177734375,0
goose_091,0.281697265625,0
goose_092,0.324056640625,0
goose_093,0.17119189453125,0
goose_094,0.23031787109375,0
goose_095,0.166748046875,0
goose_096,0.3099501953125,0
goose_097,0.27038525390625,0
goose_098,0.142294921875,0
goose_099,0.3081328125,0
goose_100,0.324447265625,0
goose_101,0.084611328125,0
goose_102,0.265693359375,0
goose_103,0.36941455078125,0
goose_104,0.4050029296875,0
goose_105,0.162517578125,0
goose_106,0.405611328125,0
goose_107,0.250720703125,0
goose_108,0.32657373046875,0
goose_109,0.269552734375,0
goose_110,0.15905810546875,0
goose_111,0.37163525390625,0
goose_112,0.147203125,0
goose_113,0.260361328125,0
goose_114,0.10967333984375,0
goose_115,0.144265625,0
goose_116,0.17524365234375,0
goose_117,0.0260791015625,0
goose_118,0.122384765625,0
goose_119,0.4149375,0
goose_120,0.34501953125,0
goose_121,0.341509765625,0
goose_122,0.2650234375,0
goose_123,0.261775390625,0
goose_124,0.32311083984375,0
goose_125,0.10937353515625,0
goose_126,0.17547119140625,0
goose_127,0.217103515625,0
goose_128,0.225654296875,0
goose_129,0.3023828125,0
goose_130,0.24321533203125,0
goose_131,0.05522021484375,0
goose_132,0.18828515625,0
goose_133,0.298869140625,0
goose_134,0.28501416015625,0
goose_135,0.28401171875,0
goose_136,0.138130859375,0
goose_137,0.416734375,0
goose_138,0.36514306640625,0
goose_139,0.1625263671875,0
goose_140,0.09042578125,0
goose_141,0.2647392578125,0
goose_142,0.2707666015625,0
goose_143,0.1324052734375,0
goose_144,0.14231201171875,0
goose_145,0.4702734375,0
goose_146,0.01696630859375,0
goose_147,0.211375,0
goose_148,0.2989013671875,0
goose_149,0.355849609375,0
goose_150,0.21729931640625,0
goose_151,0.17241796875,0
goose_152,0.19505078125,0
goose_153,0.284669921875,0
goose_154,0.28708935546875,0
goose_155,0.294759765625,0
goose_156,0.274333984375,0
goose_157,0.459939453125,0
goose_158,0.3874765625,0
goose_159,0.1654677734375,0
goose_160,0.202916015625,0
goose_161,0.240328125,0
goose_162,0.25378759765625,0
goose_163,0.306818359375,0
goose_164,0.25540185546875,0
goose_165,0.17009033203125,0
goose_166,0.38428125,0
goose_167,0.478685546875,0
goose_168,0.11239794921875,0
goose_169,0.293419921875,0
goose_170,0.3465078125,0
goose_171,0.15161328125,0
goose_172,0.36479296875,0
goose_173,0.238607421875,0
goose_174,0.264251953125,0
goose_175,0.21679296875,0
goose_176,0.362525390625,0
goose_177,0.280828125,0
goose_178,0.30078125,0
goose_179,0.252091796875,0
goose_180,0.21203125,0
goose_181,0.437056640625,0
goose_182,0.25173046875,0
goose_183,0.305892578125,0
goose_184,0.25866357421875,0
goose_185,0.236724609375,0
goose_186,0.355029296875,0
goose_187,0.1801513671875,0
goose_188,0.345158203125,0
goose_189,0.27834765625,0
goose_190,0.222697265625,0
goose_191,0.09665087890625,0
goose_192,0.3380390625,0
goose_193,0.29039453125,0
goose_194,0.124673828125,0
goose_195,0.334939453125,0
goose_196,0.169740234375,0
goose_197,0.13858203125,0
goose_198,0.27761083984375,0
goose_199,0.33805029296875,0
goose_200,0.300375,0
goose_201,0.04837744140625,0
goose_202,0.4866640625,0
goose_203,0.23249609375,0
goose_204,0.34244873046875,0
goose_205,0.14107568359375,0
goose_206,0.1578779296875,0
goose_207,0.32174609375,0
goose_208,0.2794921875,0
goose_209,0.09095458984375,0
goose_210,0.17298828125,0
goose_211,0.12862109375,0
goose_212,0.1790556640625,0
goose_213,0.19282958984375,0
goose_214,0.13758642578125,0
goose_215,0.290697265625,0
goose_216,0.250521484375,0
goose_217,0.19368359375,0
goose_218,0.2514697265625,0
goose_219,0.201232421875,0
goose_220,0.12685595703125,0
goose_221,0.21992919921875,0
goose_222,0.13458447265625,0
goose_223,0.34680859375,0
goose_224,0.167833984375,0
goose_225,0.307876953125,0
goose_226,0.2295029296875,0
goose_227,0.15494921875,0
goose_228,0.3818671875,0
goose_229,0.148869140625,0
goose_230,0.401248046875,0
goose_231,0.14178125,0
goose_232,0.12418798828125,0
goose_233,0.16865771484375,0
goose_234,0.2288369140625,0
goose_235,0.41894384765625,0
goose_236,0.19921435546875,0
goose_237,0.2727763671875,0
goose_238,0.22649169921875,0
goose_239,0.105978515625,0
goose_240,0.426103515625,0
goose_241,0.272189453125,0
goose_242,0.342201171875,0
goose_243,0.2763173828125,0
goose_244,0.06871240234375,0
goose_245,0.275236328125,0
goose_246,0.2541640625,0
goose_247,0.3201328125,0
goose_248,0.19674658203125,0
goose_249,0.289146484375,0
goose_250,0.27768896484375,0
