id,lisa_traversable_area,hard_risk_area,overlap_area,overlap_over_a,overlap_over_b,iou
goose_001,0.1520703125,0.0,0.0,0.0,0.0,0.0
goose_002,0.168712890625,0.0183359375,0.0,0.0,0.0,0.0
goose_003,0.23034423828125,0.12577099609375,7.32421875e-06,3.179683939409682e-05,5.823456104706426e-05,2.0567413812224218e-05
goose_004,0.155244140625,0.06582958984375,5.859375e-06,3.774297037164955e-05,8.900822584287816e-05,2.650486916528104e-05
goose_005,0.3235546875,0.129560546875,0.004134765625,0.01277918628508524,0.03191377101029753,0.009209232723404548
goose_006,0.370560546875,0.160318359375,0.00066796875,0.0018025900372545679,0.0041665143817335324,0.0012598169950002952
goose_007,0.1906103515625,0.00727880859375,0.0,0.0,0.0,0.0
goose_008,0.2956611328125,0.02799609375,2.9296875e-05,9.908936870146835e-05,0.0010464629551931342,9.052641108029613e-05
goose_009,0.1493544921875,0.0002666015625,0.0,0.0,0.0,0.0
goose_010,0.27384521484375,0.0,0.0,0.0,0.0,0.0
goose_011,0.403689453125,0.034869140625,0.000146484375,0.0003628640130807016,0.004200974625877949,0.00033412483794796507
goose_012,0.1894619140625,0.1888017578125,0.00028564453125,0.0015076620156757993,0.0015129336429851269,0.0007557172919733061
goose_013,0.30927734375,0.0,0.0,0.0,0.0,0.0
goose_014,0.23156396484375,0.01507421875,0.0,0.0,0.0,0.0
goose_015,0.406462890625,0.0,0.0,0.0,0.0,0.0
goose_016,0.08161279296875,0.0,0.0,0.0,0.0,0.0
goose_017,0.251833984375,0.0019716796875,2.9296875e-06,1.1633408045642448e-05,0.0014858841006721436,1.1543167599075886e-05
goose_018,0.11471337890625,0.00172314453125,0.0,0.0,0.0,0.0
goose_019,0.144587890625,0.0035986328125,4.8828125e-07,3.3770549379183257e-06,0.0001356852102936655,3.2950557688080297e-06
goose_020,0.1510234375,0.009291015625,0.0,0.0,0.0,0.0
goose_021,0.246162109375,0.0,0.0,0.0,0.0,0.0
goose_022,0.267896484375,0.00478125,0.0,0.0,0.0,0.0
goose_023,0.18186669921875,0.0,0.0,0.0,0.0,0.0
goose_024,0.2676923828125,0.0008232421875,0.0,0.0,0.0,0.0
goose_025,0.29527099609375,0.2652548828125,1.953125e-05,6.614686257151526e-05,7.363200930695044e-05,3.484572490865206e-05
goose_026,0.10046484375,0.0,0.0,0.0,0.0,0.0
goose_027,0.13812109375,0.002974609375,0.0,0.0,0.0,0.0
goose_028,0.15076123046875,0.041166015625,0.00114697265625,0.007607875397939468,0.027862124590455686,0.006012008660962607
goose_029,0.1789296875,0.0,0.0,0.0,0.0,0.0
goose_030,0.28570263671875,0.01006005859375,0.0,0.0,0.0,0.0
goose_031,0.30078955078125,0.10503466796875,8.447265625e-05,0.0002808364054883537,0.0008042359525974764,0.00020819418620718547
goose_032,0.369349609375,0.106421875,0.0068203125,0.018465736329070497,0.06408750550462326,0.01454375830366741
goose_033,0.280587890625,0.0569453125,9.765625e-06,3.4804157008270826e-05,0.00017149128823667543,2.893317593668881e-05
goose_034,0.25032421875,0.138548828125,0.0,0.0,0.0,0.0
goose_035,0.319916015625,0.146220703125,0.008748046875,0.027344823165092493,0.05982768984091595,0.01912606807488534
goose_036,0.3178515625,0.031951171875,8.984375e-05,0.0002826594568005244,0.002811907818154416,0.0002569071727351292
goose_037,0.28090234375,0.03896435546875,0.0004189453125,0.0014914269026965773,0.010752014436136393,0.0013114673913854147
goose_038,0.14220849609375,0.0684423828125,0.00238818359375,0.016793536668634805,0.034893343796569214,0.011467169337076475
goose_039,0.19680224609375,0.0,0.0,0.0,0.0,0.0
goose_040,0.157912109375,0.0,0.0,0.0,0.0,0.0
goose_041,0.22291162109375,0.001302734375,0.0,0.0,0.0,0.0
goose_042,0.290697265625,0.002416015625,0.0,0.0,0.0,0.0
goose_043,0.1085498046875,0.05476416015625,0.0,0.0,0.0,0.0
goose_044,0.31919140625,0.02755859375,0.0,0.0,0.0,0.0
goose_045,0.192875,0.000109375,2.1484375e-05,0.00011139014905914422,0.19642856792091845,0.00011133941313894815
goose_046,0.4627890625,0.044638671875,0.000166015625,0.0003587284973903188,0.003719098665337165,0.0003272780477274302
goose_047,0.1958017578125,0.0,0.0,0.0,0.0,0.0
goose_048,0.23623779296875,0.00219580078125,9.765625e-07,4.133811477519023e-06,0.0004447409383044827,4.095758841711012e-06
goose_049,0.2189140625,0.034794921875,0.0,0.0,0.0,0.0
goose_050,0.22643603515625,0.1222646484375,5.078125e-05,0.0002242631123833686,0.0004153387806595287,0.0001456511235441601
goose_051,0.1932939453125,0.05399755859375,6.8359375e-06,3.536550246791751e-05,0.00012659715879690563,2.764400056072371e-05
goose_052,0.3304228515625,0.1025205078125,1.7578125e-05,5.319887809469223e-05,0.00017145959745015069,4.06030912486346e-05
goose_053,0.37890185546875,0.06790185546875,0.0224443359375,0.05923522308885124,0.3305408340081075,0.052889925991323215
goose_054,0.1573515625,0.14290625,0.004458984375,0.028337719080130858,0.031202164880395775,0.01507438147485243
goose_055,0.20126611328125,0.12421337890625,0.0,0.0,0.0,0.0
goose_056,0.273119140625,0.08093798828125,2.392578125e-05,8.76019937497093e-05,0.0002956063247670103,6.758061401805702e-05
goose_057,0.402384765625,0.0,0.0,0.0,0.0,0.0
goose_058,0.217419921875,0.3073388671875,8.740234375e-05,0.0004019978619992948,0.0002843842841931837,0.00016658492527394232
goose_059,0.15446533203125,0.03277294921875,0.0,0.0,0.0,0.0
goose_060,0.2818984375,0.01142041015625,0.0,0.0,0.0,0.0
