id,safe_score,mean_score,obstacle_score,obstacle_gap,water_risk_score,water_risk_gap,unsafe_proxy_score,unsafe_proxy_gap,non_traversable_score,non_traversable_gap
goose_001,0.9099457859992981,0.2499990314245224,0.004347866866737604,0.9055979191325605,7.27061933503137e-06,0.9099385153799631,0.021092411130666733,0.8888533748686314,0.021092411130666733,0.8888533748686314
goose_002,0.9789380431175232,0.33859798312187195,0.0,0.9789380431175232,0.0008199337171390653,0.9781181094003841,0.005874474998563528,0.9730635681189597,0.005874474998563528,0.9730635681189597
goose_003,0.8933002352714539,0.10535551607608795,0.004104383289813995,0.8891958519816399,0.009261496365070343,0.8840387389063835,0.035432565957307816,0.857867669314146,0.035432565957307816,0.857867669314146
goose_004,0.9086517691612244,0.35137227177619934,0.00343265850096941,0.905219110660255,0.000398979929741472,0.9082527892314829,0.008917653933167458,0.8997341152280569,0.008917653933167458,0.8997341152280569
goose_005,0.9846373200416565,0.1601320207118988,0.005311149172484875,0.9793261708691716,0.0012613831786438823,0.9833759368630126,0.016498500481247902,0.9681388195604086,0.016498500481247902,0.9681388195604086
goose_006,0.9871166348457336,0.41319215297698975,0.003664228832349181,0.9834524060133845,0.02649522013962269,0.960621414706111,0.233688622713089,0.7534280121326447,0.233688622713089,0.7534280121326447
goose_007,0.9029918313026428,0.28420087695121765,0.0015376133378595114,0.9014542179647833,4.425954830367118e-05,0.9029475717543392,0.0058924052864313126,0.8970994260162115,0.0058924052864313126,0.8970994260162115
goose_008,0.9588708877563477,0.2843115031719208,0.004451621323823929,0.9544192664325237,9.07508801901713e-05,0.9587801368761575,0.006850890815258026,0.9520199969410896,0.006850890815258026,0.9520199969410896
goose_009,0.9615089297294617,0.33107224106788635,3.343505159136839e-05,0.9614754946778703,0.0009677933994680643,0.9605411363299936,0.04668539762496948,0.9148235321044922,0.04668539762496948,0.9148235321044922
goose_010,0.906463086605072,0.15885420143604279,2.7803042030427605e-05,0.9064352835630416,3.636286464825389e-06,0.9064594503186072,0.005438509397208691,0.9010245772078633,0.005438509397208691,0.9010245772078633
goose_011,0.9473236799240112,0.3799656331539154,5.187126134842401e-06,0.9473184927978764,0.006226223427802324,0.9410974564962089,0.0787268802523613,0.8685967996716499,0.0787268802523613,0.8685967996716499
goose_012,0.9492865204811096,0.24371691048145294,0.0,0.9492865204811096,1.5978722558429581e-06,0.9492849226088538,0.017207959666848183,0.9320785608142614,0.017207959666848183,0.9320785608142614
