id,baseline_iou,vl2g_iou,delta_iou,baseline_dice,vl2g_dice,delta_dice,baseline_precision,vl2g_precision,baseline_recall,vl2g_recall
goose_042,0.3112006944859363,0.4289699251411811,0.1177692306552448,0.4746804906291547,0.6003904177322685,0.12570992710311385,0.9723701694468543,0.9720149031651371,0.3139771143678793,0.4343341217186564
goose_009,0.6582471053673723,0.7597170952632069,0.10146998989583456,0.7939071363209678,0.8634536736708504,0.06954653734988259,0.963819453215602,0.9553502206402223,0.67492431826131,0.7876850835614841
goose_024,0.5984861831378867,0.6736855518381265,0.0751993687002398,0.7488162105512061,0.8050324042031083,0.056216193651902224,0.9735326044479953,0.957711919468955,0.6083852327169084,0.6943399462084325
goose_049,0.41671610714965357,0.49138028169014086,0.0746641745404873,0.5882845618068971,0.6589604110003022,0.07067584919340508,0.43181936815975225,0.5137343219458111,0.9225669747961637,0.9186513345394166
goose_050,0.7792989440753871,0.8429941087916786,0.06369516471629144,0.8759617900862071,0.9148093363623071,0.03884754627609999,0.9545679191631493,0.9535832074914855,0.8093167115969875,0.8790654493280311
goose_022,0.5719787247179614,0.61643293829782,0.04445421357985857,0.7277181500285046,0.7627077173358678,0.034989567307363245,0.9861729146072542,0.9815685615920732,0.5766028998290975,0.6236517644213413
goose_005,0.7249797806910302,0.7673132278516734,0.042333447160643245,0.8405661200279134,0.8683386914773574,0.027772571449444006,0.9197418184855101,0.9241069911293885,0.7739415904504704,0.8189183491120102
goose_051,0.2789453261417873,0.3182672812489097,0.039321955107122386,0.43621149464345854,0.4828569832172233,0.04664548857376477,0.9349573405472895,0.9399601566256783,0.28446553150065884,0.3248716903632241
goose_004,0.7579307866308691,0.7895201860071867,0.03158939937631755,0.8622987803558158,0.8823819839314357,0.02008320357561999,0.9730759626971806,0.9739512714074136,0.774165964889551,0.80655135928829
goose_017,0.582941843776869,0.6143109523391214,0.03136910856225239,0.7365297039415938,0.7610813163956927,0.02455161245409887,0.950075127076651,0.9456776520084142,0.6013631780056861,0.6367815239129482
goose_016,0.6701905896366885,0.7010680555082001,0.030877465871511522,0.8025318712668271,0.8242680864390854,0.021736215172258322,0.831006489098857,0.8147170409406543,0.7759439821927463,0.834045724890099
goose_038,0.7297379240645887,0.7532510927283893,0.0235131686638006,0.843755477534804,0.8592620827130797,0.015506605178275734,0.9251506945051106,0.909342651091039,0.7755244516264469,0.8144097874854149
goose_001,0.4718867990018936,0.49452126120914086,0.02263446220724724,0.6411998522194593,0.6617788238208789,0.020578971601419638,0.905515715311235,0.909546847511492,0.49632490142947544,0.5200994629326151
goose_047,0.4987700014286735,0.5211359545154793,0.022365953086805834,0.6655724373362566,0.685193132104322,0.019620694768065383,0.9463850803291951,0.9452600611813579,0.5132732994877214,0.5373526911855919
goose_018,0.25642470459089334,0.2786931554857191,0.022268450894825764,0.4081815705373101,0.43590310042733565,0.027721529890025576,0.26529545886376593,0.2866709646956269,0.8846441839702791,0.9092100336952452
goose_026,0.4852394912966367,0.5069953183708734,0.021755827074236733,0.6534158216773717,0.6728558638376623,0.019440042160290605,0.9795388867052659,0.9726300654904848,0.4902082086958649,0.514333266407047
