id,baseline_iou,vl2g_iou,delta_iou,baseline_dice,vl2g_dice,delta_dice,baseline_precision,vl2g_precision,baseline_recall,vl2g_recall
goose_043,0.5892352413229561,0.7051145295306535,0.11587928820769733,0.741533066976854,0.8270582618573333,0.08552519488047938,0.6317656605697625,0.8949337323642582,0.8974649324152002,0.768752869166029
goose_008,0.7957049540435863,0.890609725067963,0.09490477102437667,0.8862312845457267,0.9421402135609428,0.05590892901521605,0.8285470075180729,0.9648891178028132,0.9525486830996637,0.920439289718074
goose_015,0.664392319624366,0.7551702801113782,0.09077796048701225,0.7983602324893107,0.8605094202751168,0.06214918778580614,0.6752990806532368,0.7686056510312587,0.9762674798250477,0.9773763321628781
goose_005,0.8001872958589342,0.8728061945684943,0.07261889870956006,0.8890044915877889,0.9320838398546563,0.04307934826686732,0.8124724599364549,0.890825289821766,0.9814539851519821,0.9773497688751926
goose_018,0.0069578090303478906,0.0713121063391298,0.06435429730878191,0.013819464863275507,0.13313040320773814,0.11931093834446263,0.0076703618186433915,0.0774645987862441,0.0696793323083681,0.47309466285965296
goose_041,0.5921258831085421,0.6481249955853164,0.05599911247677436,0.7438179221764141,0.786499807140102,0.042681884963687966,0.6371653282098774,0.7051179589641128,0.8933527131782946,0.8891182170542635
goose_024,0.7036455422292187,0.7508176272642109,0.04717208503499215,0.8260468798086944,0.8576765684469627,0.031629688638268316,0.9897454668724666,0.9864692636680084,0.7088130125815321,0.7586303524456055
goose_046,0.7733018283590649,0.8052108141747549,0.031908985815690016,0.8721604139715394,0.8920961561410254,0.019935742169486015,0.7884685106134144,0.8230796520803004,0.9757290686735653,0.9737462913380128
goose_011,0.8273310031084489,0.858886840634196,0.03155583752574709,0.9055075426412477,0.9240872783210082,0.018579735679760567,0.8339255757975103,0.8778101965969822,0.9905322088584344,0.9755152512232391
goose_017,0.9280715041197133,0.9568262693860208,0.02875476526630749,0.9626940724311328,0.9779368606761777,0.01524278824504488,0.9591441526544493,0.9762046683013398,0.9662703672736913,0.9796752112350539
goose_055,0.488303384411862,0.5161959358687547,0.027892551456892678,0.6561879648010429,0.6809092725512196,0.02472130775017667,0.4883464532204361,0.5161959358687547,0.9998194212450905,1.0
goose_044,0.8359003477890553,0.8608824165022622,0.02498206871320685,0.9106162529962113,0.9252410672141096,0.014624814217898296,0.9696116448901293,0.9518417746398539,0.8583881806718708,0.9000867353260592
goose_049,0.7734241387735158,0.7935679823286637,0.020143843555147867,0.872238199383492,0.8849042691968011,0.012666069813309089,0.8873510861948143,0.8484485946458259,0.8576314809170645,0.9246334112228657
goose_022,0.14435814092844626,0.16033508572452213,0.015976944796075865,0.2522953885945617,0.2763599716962926,0.02406458310173093,0.1460033815465812,0.16199584471344736,0.9275926695690856,0.9399024262180314
goose_037,0.8074757061332155,0.8214354723470034,0.013959766213787916,0.8934844362148263,0.901964944482547,0.008480508267720732,0.9969324527581033,0.9935430688540035,0.8094869505111821,0.8258441771616252
goose_014,0.44210221654084564,0.4551970439286716,0.013094827387825969,0.613135756217491,0.6256156797841649,0.012479923566673934,0.4577236178394846,0.4709119765179699,0.928336287667764,0.9316957879631974
goose_040,0.9410531080265541,0.950988852033818,0.009935744007263936,0.9696314893550869,0.9748788170085697,0.005247327653482792,0.9940870840239704,0.9857406536136948,0.9463502708279597,0.9642537437982673
goose_056,0.8578031886902476,0.8673618886412081,0.00955869995096048,0.9234597011268986,0.9289703232321473,0.005510622105248775,0.9918736050745918,0.9920906449738525,0.8638744633919766,0.8734014298634386
goose_054,0.8232397864540429,0.8312576312576313,0.008017844803588359,0.9030515816629189,0.9078543805840779,0.0048027989211589794,0.9714470159608807,0.9670454545454545,0.8436535400596723,0.8554913294797688
goose_028,0.23489699352547727,0.24289923357304083,0.008002240047563558,0.3804317198228422,0.39085909301715965,0.010427373194317469,0.23591293724779192,0.2451219357979729,0.9819967673753575,0.9640121845082681
goose_030,0.41260312281519457,0.41965828373968134,0.00705516092448677,0.5841741620858272,0.5912102772143341,0.007036115128506881,0.41621530128639134,0.4256769256233752,0.9793994645188414,0.9674064567521519
goose_013,0.9507278036531273,0.9560411702073721,0.005313366554244858,0.9747416342482018,0.9775266336608,0.0027849994125981326,0.9954635540638788,0.9949427743672696,0.9548648317302717,0.9607097309372059
