threshold,iou,dice,precision,recall
0.1,0.619225062850162,0.7426251499198868,0.882031947950459,0.6846984714574573
0.15,0.6155583657738591,0.7391859007168124,0.8872158099968656,0.6758517000356592
0.2,0.6128855633410717,0.7366757219486478,0.89087828572638,0.6695119722608365
0.25,0.6106567093190917,0.7346482181307985,0.8937491950735169,0.6646161871351792
0.3,0.6086680819021589,0.7328695260623717,0.8961992893408622,0.6604504235448009
0.35,0.6068148135377867,0.731238328005451,0.8983881570609642,0.6567217120248873
0.4,0.6049921341699376,0.7296591009785686,0.9004325857229485,0.6531774140244831
0.45,0.6030252660094594,0.7279748259777599,0.9022938538489396,0.6496143256751638
0.5,0.6010777751967101,0.7262979414952996,0.9042011815405596,0.6461160876527915
0.55,0.5989732421506665,0.7245093335240814,0.9060047131001442,0.64255011699748
0.6,0.5966291362943582,0.7225092847798769,0.9077574500119898,0.6387920814079059
0.65,0.5940203948521433,0.7203136024961179,0.909611840975972,0.6347228502619868
0.7,0.5909529577371951,0.717766776477322,0.9116013589486246,0.6300997694514905
0.75,0.5874093557831043,0.7148595873164982,0.9137089623414376,0.6249582733520761
0.8,0.5828898634037436,0.7111690855996148,0.9159572960864047,0.6187415370926443
0.85,0.5767217671043036,0.7061639056646216,0.9186222089318156,0.6106392235541414
0.9,0.56694284204001,0.6981759961461922,0.9221200876641922,0.5982575468781232
