threshold,iou,dice,precision,recall
0.1,0.6204467088486046,0.7462079040660876,0.8797810581953238,0.6868205659611913
0.15,0.6166865484657494,0.7429742662664829,0.885016688770026,0.6781939362921524
0.2,0.6135836385733453,0.7402933099157389,0.8887381327703334,0.6715082675890892
0.25,0.6107018884039856,0.7378161268426725,0.8917575939657055,0.6657134924532506
0.3,0.6081105985811684,0.7355704838480078,0.8943681699466273,0.6606530668816727
0.35,0.6055660713701754,0.733369535095022,0.8967329557997284,0.6558798695358351
0.4,0.6031384319200548,0.7312851879958931,0.898910065489253,0.651537617596097
0.45,0.6005736999759707,0.729091685877881,0.900865691657517,0.6471773755439504
0.5,0.5979378429034108,0.7268403262928017,0.9027709615950464,0.6428065983006833
0.55,0.5952183872095815,0.7245343633715774,0.9046882238829854,0.6384167113736726
0.6,0.5923178251361066,0.7220773952726507,0.9066838539499733,0.6338198794504069
0.65,0.5891216968220885,0.7193762686925232,0.9087191384920542,0.6289713131141116
0.7,0.5854199897111242,0.7162376564720409,0.9107356638232861,0.6235530104783135
0.75,0.5810902899297296,0.7125281649154019,0.9128340419597233,0.6173392390514455
0.8,0.5756225253284443,0.7077888398626724,0.915102592922315,0.6096803302306419
0.85,0.5684318624736822,0.7014519189313447,0.9175858772111679,0.5999908111107047
0.9,0.5574717659900322,0.6916934206045487,0.9205089607628467,0.5857508839178244
