threshold,iou,dice,precision,recall
0.1,0.6494408318273501,0.742918196468083,0.6819198288703557,0.9202813444560966
0.15,0.6575315344886806,0.749258203838355,0.693647982671064,0.9160117045627799
0.2,0.6633270098202677,0.7537654049008689,0.7024024087309252,0.9123919845133283
0.25,0.6677228633142108,0.7571500965296616,0.7094820341594522,0.9088648237917999
0.3,0.671418819144001,0.7599817084818873,0.7156658765564604,0.9055065875116431
0.35,0.6744324958222421,0.7622912392661697,0.7211224135602814,0.9020606028164456
0.4,0.677147684295106,0.7643660116056653,0.7261827935520763,0.8987703357354542
0.45,0.6795401181578631,0.7662177192602553,0.7309880544773394,0.8954289276594949
0.5,0.6817048894511826,0.7679154579630636,0.7356665885103786,0.8920006712394819
0.55,0.683622564240474,0.7694495390726256,0.740272556444709,0.8883276266736304
0.6,0.6852525971977831,0.7707881324354859,0.7448689914334148,0.8842210316617772
0.65,0.6864807160066901,0.7718884336272949,0.7494754113575282,0.8797244852996278
0.7,0.6873846602320361,0.7727948497620221,0.754319124503865,0.8745084670504119
0.75,0.688044222111435,0.7735645558335102,0.7596320757350244,0.8683961188005903
0.8,0.6880571631530368,0.7739442369661368,0.7655313481608808,0.8606897980870105
0.85,0.6865499776117698,0.7733238288733375,0.7722061044538702,0.8498541963078895
0.9,0.6827828026105818,0.7711965192986386,0.7806660101923952,0.8337482445264575
