threshold,iou,dice,precision,recall
0.1,0.599007412467184,0.7300165129454578,0.8632734976104027,0.684150327384492
0.15,0.5938703379064787,0.7251489462518987,0.8691171782411011,0.6718500454931213
0.2,0.5900703722487993,0.7214754696317142,0.8734339463966065,0.6628252366692978
0.25,0.5868812714454413,0.7184324754251874,0.8767515045682115,0.6557298817810588
0.3,0.5841305690241156,0.7158572790437183,0.8796203407124663,0.6498938253469818
0.35,0.5815943806104599,0.7134636002479622,0.8822174922511873,0.6445951296990362
0.4,0.579178918026041,0.711238866760156,0.8845884419537168,0.6396589870041117
0.45,0.5767387312471538,0.7090466142696591,0.8868548889250502,0.6349426575929495
0.5,0.5744122952550111,0.7069538282675331,0.8890361355799665,0.6304949989703147
0.55,0.5720376952401962,0.7048031094917544,0.891161847384775,0.6260885513128187
0.6,0.5697092138884646,0.702708735403224,0.8932184876471878,0.6218308726629961
0.65,0.5672944207352835,0.7004933948057707,0.8952882095143939,0.617402977417265
0.7,0.5647561460986896,0.6981691322396415,0.8974958383995956,0.6128072541838682
0.75,0.5616073297838078,0.6952820451899984,0.8996718681090979,0.6075286184320609
0.8,0.557740228188195,0.6917298818784591,0.9020041174521969,0.601252762564971
0.85,0.552777247633738,0.6870858861431105,0.9047245137664994,0.5933490871793978
0.9,0.5453723039225911,0.6801824902250242,0.9080145315678203,0.5820901780569513
