sample_id,model,prompt_type,target_gt,status,iou,dice,precision,recall,pred_pixels,gt_pixels
goose_009,grounded_sam2,obstacle,obstacle,ok,0.15710664873003288,0.2715508529874289,0.1752765602170737,0.6024700426193385,402444,117083
goose_010,grounded_sam2,obstacle,obstacle,ok,0.01650549148870959,0.03247496767486557,0.018209124891612354,0.14996156145895617,482066,58535
goose_011,grounded_sam2,obstacle,obstacle,ok,0.04287805173772593,0.08223023136076002,0.06048057072354357,0.12840729309852944,81861,38557
goose_012,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,60686
goose_013,grounded_sam2,obstacle,obstacle,ok,0.028708221257826703,0.055814118453771974,0.8356245206206856,0.028871262666723744,16949,490557
goose_014,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,721498
goose_015,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,192140,5262
goose_016,grounded_sam2,obstacle,obstacle,ok,0.14730611531486917,0.2567860719097486,0.9871040944805036,0.14759014715781293,81964,548187
goose_017,grounded_sam2,obstacle,obstacle,ok,0.05194025768810016,0.09875134506640476,0.05491786818747741,0.4892657793044225,124495,13974
goose_018,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,,923272,0
goose_019,grounded_sam2,obstacle,obstacle,ok,0.001313906899569215,0.002624365627034078,0.0013153055030978565,0.5527034407427636,769403,1831
goose_020,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,69,98042
goose_021,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,,0.0,0,61718
goose_022,grounded_sam2,obstacle,obstacle,ok,0.0088877196193265,0.017618847858867814,0.009724047306176084,0.0936595949855352,79905,8296
goose_023,grounded_sam2,obstacle,obstacle,ok,0.0,0.0,0.0,0.0,193,378532
goose_024,grounded_sam2,obstacle,obstacle,ok,0.43599643857629916,0.6072388856459315,0.6940763659620072,0.5397140299518545,289265,371997
