model,prompt_type,target_gt,count,mean_iou,mean_dice,mean_precision,mean_recall
grounded_sam2,obstacle,obstacle,56,0.06756354401475857,0.10559942944273089,0.2229175864329224,0.19791221672613257
grounded_sam2,road,traversable_strict,56,0.13869072386262407,0.1551573867308643,0.6169052681214062,0.16601053815100983
grounded_sam2,water_risk,water_risk,56,0.02239867260511358,0.03301311798712582,0.20348254018736395,0.028040929612976558
lisa,traversable,traversable_strict,56,0.7026373502697919,0.7754233043695137,0.7525774817503533,0.9233823138492142
