threshold,iou,dice,precision,recall
0.1,0.6582780337997658,0.748647847904494,0.6914804212739062,0.9195033225777139
0.15,0.6659407041407442,0.7544751698909911,0.7027543762403232,0.9150004505677016
0.2,0.6711957640906695,0.7584987436755765,0.7108392107719081,0.9115182999622576
0.25,0.6751097437294244,0.7615300786517148,0.7173364682410244,0.9083234782040664
0.3,0.6782253357530577,0.7639768534576549,0.7228925751330081,0.9054214045383161
0.35,0.680819874342882,0.7660267556139403,0.72782552526022,0.9025839491865725
0.4,0.6829697107380027,0.7677593189920291,0.7322725577378364,0.8997349860206941
0.45,0.6848656656565417,0.7693035221068393,0.7365056875543896,0.896723879701507
0.5,0.6865574624326573,0.7707020056167756,0.7406028540852525,0.8936392106929981
0.55,0.6880040357268237,0.7719362525242734,0.7445835018382241,0.8902782848394791
0.6,0.6893393256405853,0.7731085055462091,0.7486609264386539,0.8866633093633745
0.65,0.6905093587209381,0.7741682736423553,0.7528805147784949,0.8826312092533181
0.7,0.6914156401304259,0.7750698862553426,0.7572647996333707,0.8778628446752139
0.75,0.6919801054807431,0.775772983509892,0.7619755054797318,0.8719382100479685
0.8,0.6923064047225892,0.7763817710271745,0.7675095447559881,0.8646116491822406
0.85,0.6921034978353534,0.776730742784358,0.7741813532784517,0.8550516856633994
0.9,0.6905590284733337,0.7763226053287438,0.782831241406461,0.8412884339306307
