threshold,iou,dice,precision,recall
0.1,0.6472575855170497,0.7382195448393567,0.6854127540935933,0.8949816499097059
0.15,0.6540506445716969,0.7430748250655209,0.6950038586487176,0.890484810207023
0.2,0.6584975453499393,0.7462094655581699,0.7015796391252616,0.8868789014295378
0.25,0.6614471567349093,0.7482948510724519,0.7064547659717589,0.8838050758331573
0.3,0.6638425245906302,0.7499897167200948,0.7105907767692958,0.8811289142496468
0.35,0.6659807577221233,0.7515230519957466,0.7143891949954064,0.8788189122006695
0.4,0.6678318499766076,0.7528412439356856,0.7178855381636777,0.8765154598938951
0.45,0.6695280619762104,0.7540659675157585,0.7212576912450517,0.8742465569762102
0.5,0.6711917816750194,0.7552685427318504,0.7246756717318296,0.8719236004400318
0.55,0.6727375706908687,0.7563871232092092,0.7280530014628204,0.8694916101495271
0.6,0.674324939723767,0.757540050017423,0.7315977540954266,0.8668904163320662
0.65,0.6757458677368138,0.7585942689909001,0.7353084937738704,0.864064580838521
0.7,0.6770344989261056,0.7595314793776877,0.7392758015653917,0.8607665872931243
0.75,0.6781103832435075,0.7602933754580701,0.743510962462439,0.8568882376881629
0.8,0.6787660237662809,0.7607846114385141,0.7482422733802582,0.851998613862816
0.85,0.6787593736686909,0.7608416610582557,0.7539109503638881,0.8452429549730607
0.9,0.6769922619095599,0.7597000502215321,0.7614376017418282,0.8342869462906239
