threshold,iou,dice,precision,recall
0.1,0.6523508222993355,0.7426751773218323,0.6841273664158524,0.9213627639504935
0.15,0.6608427710325339,0.7496351384649589,0.6963279938417948,0.9173076191572037
0.2,0.6663958273043635,0.7542514547297533,0.7047929960652412,0.9140932530913253
0.25,0.6705267376374212,0.7577220234060758,0.7114686923318677,0.9112012375144151
0.3,0.6738209270709952,0.7605024822919021,0.717076133353575,0.9084903958887354
0.35,0.676574832428958,0.7628398465219283,0.7220632262238114,0.9057840096984899
0.4,0.6789986336779439,0.7648995387658696,0.7266294490701423,0.9030837970238518
0.45,0.6811000303890913,0.7667004551555359,0.730907045086702,0.9003239532723643
0.5,0.6829824422082219,0.7683260050735676,0.7350331070437849,0.8974501398619216
0.55,0.6846247660111983,0.769764576734031,0.7390317340542752,0.8942713269238325
0.6,0.6861753561987328,0.7711683042685914,0.7430974804491577,0.8910034817836442
0.65,0.6875054708221038,0.7724450413651776,0.7472078116500073,0.8873575876409328
0.7,0.6886595808293859,0.7736119514512565,0.7515773555617103,0.8828968101158774
0.75,0.6898244092626761,0.7747956111914318,0.7563603410817121,0.8779073099927504
0.8,0.6905836480785499,0.7757186271894057,0.7616677659159163,0.8713676155070404
0.85,0.6906446585488791,0.7762768771716928,0.7678520028796927,0.8625863784686241
0.9,0.6893750960412603,0.7760727520890048,0.7760625546934133,0.8492991723823323
