threshold,iou,dice,precision,recall
0.1,0.6550628744345334,0.7453919453163008,0.6859407371522334,0.9194352680383597
0.15,0.662761671551578,0.7514131900794333,0.6977328294405538,0.913572829470123
0.2,0.6679219705333097,0.755397426237552,0.7062413474597216,0.9088336066533881
0.25,0.6716007271500397,0.7582553628440295,0.7128505047811178,0.9048415660038013
0.3,0.6745727761419548,0.7606010551681427,0.7184633161200408,0.9013565221129215
0.35,0.6772179641313691,0.7626723352076048,0.7235355783395939,0.8981111385003449
0.4,0.6796294023130073,0.764564834911943,0.728152479345389,0.8950968298302635
0.45,0.6818673473736777,0.7663578905404176,0.7325112219380046,0.8922739187671235
0.5,0.683945040107693,0.768036959253538,0.7366790752367454,0.889478878031454
0.55,0.6857731804343973,0.7695152442150902,0.7407045774627828,0.8863996146327124
0.6,0.6873154256568138,0.7707507015424602,0.7445342785893347,0.8832960740334556
0.65,0.6886503105931622,0.7717911589669207,0.7483361149235644,0.879876845835095
0.7,0.6898081203886947,0.7726896759354486,0.7522367697562294,0.8760329556037453
0.75,0.6907956802891915,0.7734035452137585,0.7564868292605101,0.8714501681123947
0.8,0.6914732889697446,0.7739328766360511,0.7611948315796748,0.8657777867534798
0.85,0.6917357844830307,0.7740398270305126,0.766649092294166,0.8580096020645461
0.9,0.6907122998595734,0.7729920730755294,0.7733775766254168,0.845203599976472
