threshold,iou,dice,precision,recall
0.1,0.6086765628040824,0.7347191441287685,0.865286651905434,0.6953487201054221
0.15,0.603359526497271,0.7302142980428725,0.8707996029002995,0.6847629307405255
0.2,0.5994199341989861,0.7268513473113709,0.8749752939471583,0.6769755808242639
0.25,0.5960910093892978,0.7239956260622707,0.8783230136505245,0.6704908203945225
0.3,0.593098495933997,0.7214437243098561,0.8812922627098513,0.6647396966485244
0.35,0.5902659236860771,0.719053214909036,0.8839355610607643,0.659466138812635
0.4,0.5877226599405233,0.7168874944347577,0.8864154682692141,0.6546044654606218
0.45,0.5851720941150166,0.7147206157100425,0.8887897941520502,0.64980685416671
0.5,0.5825780506971111,0.7125366063821108,0.8911246049325212,0.6450651333059769
0.55,0.5798269149316305,0.7102307431425549,0.8933467054186123,0.6402052188582351
0.6,0.5769845462210049,0.7078514339260755,0.8956510263344937,0.6352145679816407
0.65,0.5739352603950907,0.7053064067462057,0.898052000017852,0.6299358912736164
0.7,0.5706035214147175,0.702526926996077,0.9007132746039327,0.624154231836742
0.75,0.5667520354124781,0.6992953789470983,0.9036013532161574,0.6175752183365981
0.8,0.5618262003733482,0.6951523718990009,0.9067452820172812,0.6096099534865412
0.85,0.5550792219848978,0.6894840432892373,0.9104293107326357,0.5991862546976525
0.9,0.5448490976350774,0.6808084205481484,0.9149553023177853,0.5842100995163134
