threshold,iou,dice,precision,recall
0.1,0.6108817214118852,0.7389200870216731,0.8674412675429153,0.6962238856665325
0.15,0.6053587636629513,0.7338511948966152,0.8735171859400721,0.6846307881881416
0.2,0.6013748542454272,0.7302373346339722,0.8777343249416718,0.6765495197939381
0.25,0.5981662613499791,0.7273784903671017,0.881173991537438,0.6701382859649125
0.3,0.595388822349836,0.724938149548146,0.8841202087568918,0.6646393466256332
0.35,0.5928654608632684,0.7227575199503777,0.8867924996091026,0.6596771620627119
0.4,0.5904373585417064,0.7206866562973057,0.8892402390788321,0.65498472031248
0.45,0.5879674784325454,0.7186026793648806,0.8914627661435462,0.6503965131140431
0.5,0.5856272583674981,0.7166184997333837,0.8936971158721502,0.6459046817401772
0.55,0.5831827818436185,0.7145744293484313,0.8958714176701709,0.641378362459618
0.6,0.580655521707668,0.7124724699462728,0.8981444194929823,0.6367714554368905
0.65,0.5778817248011462,0.7101666715865073,0.9004382803557279,0.6318992765853803
0.7,0.5747624419835381,0.707537763238956,0.9029013637755602,0.6264858132082473
0.75,0.571345060598939,0.7046865135517469,0.9056824817817632,0.6205285899013643
0.8,0.5670496266845122,0.7011110964020361,0.9087614735109998,0.6134161105150169
0.85,0.5613166629687636,0.6963123937425112,0.9122712169523434,0.6044604274913115
0.9,0.5523905432168977,0.6887517142943567,0.9166671602953819,0.5913389982497801
