threshold,iou,dice,precision,recall
0.1,0.5939239467597653,0.7239064927724969,0.8628157131907072,0.6805032980786058
0.15,0.5884053912951467,0.7188358723689967,0.8689614827890152,0.6682578131128807
0.2,0.584325307031922,0.715171008158089,0.873328021219174,0.6595263494961372
0.25,0.5808906782116026,0.7121224435589194,0.8768540561085997,0.6523857569034828
0.3,0.5778295630244834,0.7094564854691708,0.87992610439706,0.6462740543309966
0.35,0.5749991797447286,0.7070164918851692,0.8826511959427936,0.6408131912620648
0.4,0.5722643184771725,0.704675257760036,0.8850980045938824,0.6357446423270444
0.45,0.5695330993719342,0.7023669854736766,0.8873642355374299,0.6308510463964752
0.5,0.5667837508966398,0.7000483263649792,0.8895128446353308,0.6260541690706294
0.55,0.5640127298759182,0.6976960388413189,0.891666169110149,0.6212303459871745
0.6,0.561097057108386,0.6952069737878132,0.8938471758838086,0.6162722164774935
0.65,0.5579383723589212,0.6925048866313978,0.8960929175405283,0.6109832000990382
0.7,0.5543070914131193,0.6893805120157336,0.898486914930622,0.6050603588983033
0.75,0.5501317155546802,0.6857469373819394,0.9012209172505362,0.5983030958644342
0.8,0.544865771044476,0.6811932628585098,0.9041891004189911,0.5900944999493286
0.85,0.537885827625982,0.67507183741454,0.9075912000553527,0.5795368071160943
0.9,0.5275733261067271,0.6658640160245973,0.9119423845605835,0.5644396692076995
