threshold,iou,dice,precision,recall
0.1,0.6527703298091827,0.7466130421095947,0.6888844832136195,0.9155424959550729
0.15,0.6609597358457855,0.7530497990271827,0.7018091191193567,0.9097697756940055
0.2,0.6663683237486298,0.7572631178939994,0.7108894167722047,0.9050847913326202
0.25,0.6700967483867242,0.7601763112355516,0.7179811045566049,0.9006283452041408
0.3,0.6729765434566313,0.7624328503844363,0.7239454605924519,0.8964859892002554
0.35,0.6753813068101335,0.7643209859842476,0.7292039725111518,0.8926197888062178
0.4,0.6772512140105824,0.7657911920108561,0.7339217509366601,0.8887118580809039
0.45,0.6786609655747363,0.7669156752720421,0.7382042771374148,0.8847132567891389
0.5,0.6796160034141125,0.7676864854182052,0.7421719351882174,0.8803904464027374
0.55,0.6802038896513888,0.7681608613542747,0.7459027529535324,0.8756523478064551
0.6,0.6805032888616552,0.7684047659373929,0.7495704865727111,0.87065479975783
0.65,0.680741822262296,0.7686295444961742,0.7534795983375451,0.8653360800150615
0.7,0.680619993086095,0.7685909907403653,0.7576084517542618,0.8590549888975944
0.75,0.6801211375127831,0.7682806068430185,0.7621553593863272,0.851696301846741
0.8,0.6788552493676708,0.7674254547857912,0.7671215395176053,0.8428208276234862
0.85,0.6764017037576592,0.7656299073806195,0.7729419905650662,0.8309836142569159
0.9,0.6721818680206771,0.7624506144425091,0.7809888889770548,0.8141491393792933
